"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2542:19-2542:26","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2517:3-2545:24"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2550:19-2550:26","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2550:2-2551:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2556:9-2556:16","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2556:2-2557:15"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2569:13-2569:19","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2563:2-2570:19"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2583:19-2583:26","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2584:20-2584:27","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2588:18-2588:25","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2590:22-2590:28","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2591:19-2591:26","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2598:20-2598:27","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2599:21-2599:28","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2600:18-2600:25","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2604:20-2604:27","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2605:21-2605:28","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2606:23-2606:30","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2607:18-2607:25","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2608:23-2608:30","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2609:16-2609:23","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2577:2-2618:52"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2644:25-2644:31","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2642:2-2654:32"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2645:28-2645:35","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2642:2-2654:32"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2646:26-2646:37","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2642:2-2654:32"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2647:25-2647:32","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2642:2-2654:32"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2648:28-2648:34","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2642:2-2654:32"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2656:31-2656:37","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2655:3-2659:45"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2680:58-2680:65","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2662:3-2681:73"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2681:61-2681:67","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2662:3-2681:73"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2687:35-2687:42","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2686:3-2700:33"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2702:5-2702:31","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2702:5-2702:31"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2702:5-2702:31","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2701:4-2702:31"
"Path: /home/sixsquare/codeQL/projects/krkrsdl2/external/FAudio/src/FACT_internal.c","call function: 2715:6-2715:42","call in function: FACT_INTERNAL_ParseSoundBank@2512-3035","callee=read","basic block: 2715:6-2715:42"
