"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 230:5-230:10","call in function: debug_printBuffer@218-256","callee=printf","basic block: 229:4-233:10"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 231:5-231:10","call in function: debug_printBuffer@218-256","callee=printf","basic block: 229:4-233:10"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 235:5-235:10","call in function: debug_printBuffer@218-256","callee=printf","basic block: 234:4-237:10"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 239:5-239:10","call in function: debug_printBuffer@218-256","callee=printf","basic block: 238:4-242:10"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 244:5-244:10","call in function: debug_printBuffer@218-256","callee=printf","basic block: 243:4-247:10"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 249:5-249:10","call in function: debug_printBuffer@218-256","callee=printf","basic block: 248:4-253:46"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 209:2-209:7","call in function: print3DcolorVertex@207-216","callee=printf","basic block: 208:1-210:18"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 212:3-212:8","call in function: print3DcolorVertex@207-216","callee=printf","basic block: 211:2-210:60"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/ParserGL.cpp","call function: 215:2-215:7","call in function: print3DcolorVertex@207-216","callee=printf","basic block: 215:2-207:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/PrimitivePositioning.cpp","call function: 305:4-305:9","call in function: intersectSegments_XY@260-351","callee=printf","basic block: 303:3-308:15"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/PrimitivePositioning.cpp","call function: 306:4-306:9","call in function: intersectSegments_XY@260-351","callee=printf","basic block: 303:3-308:15"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/PrimitivePositioning.cpp","call function: 332:5-332:10","call in function: intersectSegments_XY@260-351","callee=printf","basic block: 330:4-335:16"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/PrimitivePositioning.cpp","call function: 333:5-333:10","call in function: intersectSegments_XY@260-351","callee=printf","basic block: 330:4-335:16"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/VRender/PrimitivePositioning.cpp","call function: 518:3-518:8","call in function: split@420-535","callee=printf","basic block: 518:3-518:8"
