"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/quaternion.cpp","call function: 497:16-497:19","call in function: randomQuaternion@493-503","callee=rand","basic block: 493:43-493:39"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/quaternion.cpp","call function: 500:28-500:31","call in function: randomQuaternion@493-503","callee=rand","basic block: 493:43-493:39"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/QGLViewer/quaternion.cpp","call function: 501:28-501:31","call in function: randomQuaternion@493-503","callee=rand","basic block: 493:43-493:39"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/animation/animation.cpp","call function: 68:30-68:33","call in function: init@66-74","callee=rand","basic block: 66:23-66:19"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/animation/animation.cpp","call function: 69:23-69:26","call in function: init@66-74","callee=rand","basic block: 66:23-66:19"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/animation/animation.cpp","call function: 71:16-71:19","call in function: init@66-74","callee=rand","basic block: 66:23-66:19"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/animation/animation.cpp","call function: 73:43-73:46","call in function: init@66-74","callee=rand","basic block: 66:23-66:19"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 15:43-15:46","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 16:43-16:46","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 17:43-17:46","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 18:20-18:23","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 11:13-11:16","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 12:13-12:16","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 13:13-13:16","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 23:39-23:42","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 24:39-24:42","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
"Path: /home/sixsquare/codeQL/projects/libQGLViewer/examples/screenCoordSystem/screenCoordSystem.cpp","call function: 25:39-25:42","call in function: init@8-30","callee=rand","basic block: 9:39-9:36"
