"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test2D_correctness.h","call function: 128:13-128:16","call in function: check2D_Match@123-145","callee=rand","basic block: 125:52-133:20"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test2D_correctness.h","call function: 129:13-129:16","call in function: check2D_Match@123-145","callee=rand","basic block: 125:52-133:20"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test3D_correctness.h","call function: 109:13-109:16","call in function: check3D_Match@104-129","callee=rand","basic block: 106:43-115:20"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test3D_correctness.h","call function: 110:13-110:16","call in function: check3D_Match@104-129","callee=rand","basic block: 106:43-115:20"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test3D_correctness.h","call function: 111:13-111:16","call in function: check3D_Match@104-129","callee=rand","basic block: 106:43-115:20"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/timer.h","call function: 54:3-54:15","call in function: stop@53-57","callee=clock_gettime","basic block: 53:21-53:17"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/timer.h","call function: 50:3-50:15","call in function: start@49-51","callee=clock_gettime","basic block: 49:22-49:18"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/util.h","call function: 15:2-15:6","call in function: init_randcmwc@12-18","callee=srand","basic block: 13:1-16:11"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/util.h","call function: 17:15-17:18","call in function: init_randcmwc@12-18","callee=rand","basic block: 17:3-16:26"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test3D_performance.h","call function: 125:33-125:36","call in function: testDecode_3D_Random_Perf@115-139","callee=rand","basic block: 124:46-124:43"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test3D_performance.h","call function: 125:50-125:53","call in function: testDecode_3D_Random_Perf@115-139","callee=rand","basic block: 124:46-124:43"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test3D_performance.h","call function: 57:26-57:29","call in function: testEncode_3D_Random_Perf@43-80","callee=rand","basic block: 56:47-56:44"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test2D_performance.h","call function: 106:33-106:36","call in function: testDecode_2D_Random_Perf@94-122","callee=rand","basic block: 105:46-105:43"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test2D_performance.h","call function: 106:50-106:53","call in function: testDecode_2D_Random_Perf@94-122","callee=rand","basic block: 105:46-105:43"
"Path: /home/sixsquare/codeQL/projects/libmorton/test/test2D_performance.h","call function: 43:26-43:29","call in function: testEncode_2D_Random_Perf@33-57","callee=rand","basic block: 42:47-42:44"
