"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/gainmapmath.cpp","call function: 1522:5-1522:12","call in function: copy_raw_image@1517-1623","callee=snprintf","basic block: 1518:45-1526:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/gainmapmath.cpp","call function: 1618:3-1618:10","call in function: copy_raw_image@1517-1623","callee=snprintf","basic block: 1615:3-1622:15"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/jpegencoderhelper.cpp","call function: 308:7-308:14","call in function: compressYCbCr@252-315","callee=snprintf","basic block: 304:58-311:19"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/jpegencoderhelper.cpp","call function: 148:5-148:12","call in function: encode@137-250","callee=snprintf","basic block: 145:60-149:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/jpegencoderhelper.cpp","call function: 187:9-187:16","call in function: encode@137-250","callee=snprintf","basic block: 184:14-190:21"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/jpegencoderhelper.cpp","call function: 213:7-213:14","call in function: encode@137-250","callee=snprintf","basic block: 211:23-216:23"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/lib/src/jpegencoderhelper.cpp","call function: 226:11-226:18","call in function: encode@137-250","callee=snprintf","basic block: 223:29-229:23"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1426:3-1426:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1428:3-1428:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1429:3-1429:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1430:3-1430:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1433:3-1433:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1436:3-1436:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1439:3-1439:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1441:3-1441:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1444:3-1444:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1447:3-1447:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1448:3-1448:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1449:3-1449:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1451:3-1451:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1453:3-1453:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1455:3-1455:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1461:3-1461:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1464:3-1464:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1465:3-1465:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1468:3-1468:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1471:3-1471:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1474:3-1474:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1477:3-1477:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1479:3-1479:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1482:3-1482:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1485:3-1485:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1488:3-1488:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
"Path: /home/sixsquare/codeQL/projects/libultrahdr/examples/ultrahdr_app.cpp","call function: 1493:3-1493:9","call in function: usage@1425-1582","callee=fprintf","basic block: 1425:37-1425:17"
