"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libwebm/mkvmuxer_sample.cc","call function: 796:5-796:10","call in function: main@190-802","callee=remove","basic block: 794:5-796:10"
"Path: /home/sixsquare/codeQL/projects/libwebm/m2ts/webm2pes.cc","call function: 220:26-220:30","call in function: ConvertToFile@214-289","callee=fopen","basic block: 220:3-221:20"
"Path: /home/sixsquare/codeQL/projects/libwebm/m2ts/vpxpes_parser.cc","call function: 45:44-45:53","call in function: Open@40-60","callee=fopen","basic block: 44:3-50:3"
"Path: /home/sixsquare/codeQL/projects/libwebm/m2ts/vpxpes2ts.cc","call function: 133:26-133:30","call in function: ConvertToFile@132-145","callee=fopen","basic block: 132:33-134:20"
"Path: /home/sixsquare/codeQL/projects/libwebm/mkvmuxer/mkvwriter.cc","call function: 50:11-50:15","call in function: Open@40-55","callee=fopen","basic block: 50:3-52:19"
"Path: /home/sixsquare/codeQL/projects/libwebm/common/file_util.cc","call function: 79:22-79:39","call in function: GetFileContents@78-85","callee=std::basic_ifstream::basic_ifstream","basic block: 78:75-81:15"
"Path: /home/sixsquare/codeQL/projects/libwebm/common/file_util.cc","call function: 67:7-67:10","call in function: GetFileSize@62-76","callee=stat","basic block: 62:52-67:39"
"Path: /home/sixsquare/codeQL/projects/libwebm/common/file_util.cc","call function: 39:12-39:18","call in function: GetTempFileName@25-60","callee=mkstemp","basic block: 36:3-41:15"
"Path: /home/sixsquare/codeQL/projects/libwebm/common/file_util.cc","call function: 44:5-44:9","call in function: GetTempFileName@25-60","callee=close","basic block: 43:17-44:9"
"Path: /home/sixsquare/codeQL/projects/libwebm/common/file_util.cc","call function: 90:22-90:40","call in function: ~TempFileDeleter@89-95","callee=std::basic_ifstream::basic_ifstream","basic block: 89:37-91:15"
"Path: /home/sixsquare/codeQL/projects/libwebm/common/file_util.cc","call function: 93:5-93:15","call in function: ~TempFileDeleter@89-95","callee=remove","basic block: 91:20-93:15"
"Path: /home/sixsquare/codeQL/projects/libwebm/vttdemux.cc","call function: 496:17-496:21","call in function: OpenFiles@392-506","callee=fopen","basic block: 491:5-499:16"
"Path: /home/sixsquare/codeQL/projects/libwebm/mkvparser/mkvreader.cc","call function: 41:12-41:16","call in function: Open@28-47","callee=fopen","basic block: 41:3-43:20"
"Path: /home/sixsquare/codeQL/projects/libwebm/webvtt/vttreader.cc","call function: 21:11-21:15","call in function: Open@17-26","callee=fopen","basic block: 21:3-22:19"
