"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/msg.hpp","call function: 305:5-305:26","call in function: close_and_return@300-308","callee=fprintf","basic block: 305:5-305:26"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/clock.cpp","call function: 159:9-159:30","call in function: now_us@118-179","callee=fprintf","basic block: 159:9-159:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/client.cpp","call function: 28:5-28:22","call in function: xattach_pipe@21-32","callee=fprintf","basic block: 28:5-28:22"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/channel.cpp","call function: 82:5-82:26","call in function: xrecv@78-116","callee=fprintf","basic block: 82:5-82:26"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/channel.cpp","call function: 87:9-87:30","call in function: xrecv@78-116","callee=fprintf","basic block: 87:9-87:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/channel.cpp","call function: 109:9-109:30","call in function: xrecv@78-116","callee=fprintf","basic block: 109:9-109:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/channel.cpp","call function: 73:5-73:26","call in function: xsend@56-76","callee=fprintf","basic block: 73:5-73:26"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/channel.cpp","call function: 28:5-28:30","call in function: xattach_pipe@21-36","callee=fprintf","basic block: 28:5-28:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/channel.cpp","call function: 18:5-18:23","call in function: ~channel_t@16-19","callee=fprintf","basic block: 18:5-18:23"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/decoder_allocators.cpp","call function: 105:5-105:22","call in function: call_dec_ref@103-114","callee=fprintf","basic block: 105:5-105:22"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/decoder_allocators.cpp","call function: 58:9-58:27","call in function: allocate@33-72","callee=fprintf","basic block: 58:9-58:27"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dealer.cpp","call function: 28:5-28:22","call in function: xattach_pipe@21-47","callee=fprintf","basic block: 28:5-28:22"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dealer.cpp","call function: 33:9-33:30","call in function: xattach_pipe@21-47","callee=fprintf","basic block: 33:9-33:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dealer.cpp","call function: 42:9-42:30","call in function: xattach_pipe@21-47","callee=fprintf","basic block: 42:9-42:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dgram.cpp","call function: 107:5-107:26","call in function: xrecv@103-119","callee=fprintf","basic block: 107:5-107:26"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dgram.cpp","call function: 112:9-112:30","call in function: xrecv@103-119","callee=fprintf","basic block: 112:9-112:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dgram.cpp","call function: 65:9-65:30","call in function: xsend@60-101","callee=fprintf","basic block: 65:9-65:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dgram.cpp","call function: 98:5-98:26","call in function: xsend@60-101","callee=fprintf","basic block: 98:5-98:26"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dgram.cpp","call function: 31:5-31:22","call in function: xattach_pipe@24-39","callee=fprintf","basic block: 31:5-31:22"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dgram.cpp","call function: 21:5-21:23","call in function: ~dgram_t@19-22","callee=fprintf","basic block: 21:5-21:23"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dish.cpp","call function: 293:9-293:30","call in function: pull_msg@276-316","callee=fprintf","basic block: 293:9-293:30"
"Path: /home/sixsquare/codeQL/projects/libzmq/src/dish.cpp","call function: 298:9-298:30","call in function: pull_msg@276-316","callee=fprintf","basic block: 298:9-298:30"
