"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/common/log.cpp","call function: 338:20-338:24","call in function: set_file@330-344","callee=fopen","basic block: 337:19-338:35"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/convert-llama2c-to-ggml/convert-llama2c-to-ggml.cpp","call function: 888:23-888:27","call in function: main@876-941","callee=fopen","basic block: 888:9-889:17"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/convert-llama2c-to-ggml/convert-llama2c-to-ggml.cpp","call function: 445:14-445:23","call in function: my_llama_file@444-453","callee=fopen","basic block: 444:58-446:22"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/ggml/src/ggml-cpu/ggml-cpu.cpp","call function: 286:20-286:24","call in function: ggml_backend_cpu_device_context@278-336","callee=fopen","basic block: 278:39-287:13"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/ggml/src/ggml-cpu/ggml-cpu.c","call function: 666:22-666:26","call in function: ggml_numa_init@593-679","callee=fopen","basic block: 665:25-667:24"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/ggml/src/ggml.c","call function: 581:12-581:16","call in function: ggml_fopen@558-584","callee=fopen","basic block: 558:58-558:17"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/ggml/src/ggml.c","call function: 139:16-139:20","call in function: ggml_print_backtrace@133-198","callee=fopen","basic block: 139:5-151:5"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-backend-ops.cpp","call function: 7750:47-7750:60","call in function: main@7687-7817","callee=creat","basic block: 7747:5-7751:9"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-gbnf-validator.cpp","call function: 64:26-64:30","call in function: main@54-109","callee=fopen","basic block: 60:5-65:21"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-gguf.cpp","call function: 1091:19-1091:25","call in function: test_roundtrip@1073-1201","callee=tmpfile","basic block: 1075:5-1100:21"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-gguf.cpp","call function: 160:19-160:25","call in function: get_handcrafted_file@159-416","callee=tmpfile","basic block: 159:126-162:13"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-grammar-integration.cpp","call function: 84:34-84:38","call in function: test@59-130","callee=fopen","basic block: 79:23-85:28"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-grammar-integration.cpp","call function: 91:33-91:37","call in function: test@59-130","callee=fopen","basic block: 91:13-92:27"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/llama-bench/llama-bench.cpp","call function: 2036:38-2036:51","call in function: main@1996-2207","callee=creat","basic block: 2030:5-2039:9"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/llama-bench/llama-bench.cpp","call function: 2037:38-2037:51","call in function: main@1996-2207","callee=creat","basic block: 2030:5-2039:9"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/mtmd/mtmd-helper.cpp","call function: 441:16-441:20","call in function: mtmd_helper_bitmap_init_from_file@439-460","callee=fopen","basic block: 439:89-442:10"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/vendor/cpp-httplib/httplib.h","call function: 3134:9-3134:14","call in function: open@3088-3155","callee=open","basic block: 3088:42-3135:15"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/common/console.cpp","call function: 111:19-111:23","call in function: init@59-119","callee=fopen","basic block: 102:25-112:30"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/common/arg.cpp","call function: 395:49-395:53","call in function: common_pull_file@386-405","callee=fopen","basic block: 395:5-396:16"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/model-conversion/logits.cpp","call function: 226:16-226:20","call in function: main@21-268","callee=fopen","basic block: 219:5-227:17"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/model-conversion/logits.cpp","call function: 237:9-237:13","call in function: main@21-268","callee=fopen","basic block: 231:5-238:17"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/save-load-state/save-load-state.cpp","call function: 72:26-72:30","call in function: main@8-252","callee=fopen","basic block: 61:5-85:19"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/save-load-state/save-load-state.cpp","call function: 118:26-118:30","call in function: main@8-252","callee=fopen","basic block: 103:5-125:82"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/examples/save-load-state/save-load-state.cpp","call function: 175:26-175:30","call in function: main@8-252","callee=fopen","basic block: 163:5-182:82"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tests/test-model-load-cancel.cpp","call function: 8:19-8:23","call in function: main@6-27","callee=fopen","basic block: 6:35-9:23"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/vendor/miniaudio/miniaudio.h","call function: 13390:19-13390:23","call in function: ma_wfopen@13316-13406","callee=fopen","basic block: 13380:40-13401:23"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/vendor/miniaudio/miniaudio.h","call function: 13280:19-13280:23","call in function: ma_fopen@13254-13294","callee=fopen","basic block: 13280:9-13283:23"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/run/linenoise.cpp/linenoise.cpp","call function: 177:16-177:20","call in function: open@176-180","callee=fopen","basic block: 176:66-179:19"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/run/linenoise.cpp/linenoise.cpp","call function: 177:16-177:20","call in function: open@176-332","callee=fopen","basic block: 176:66-179:19"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/run/linenoise.cpp/linenoise.cpp","call function: 177:16-177:20","call in function: open@328-180","callee=fopen","basic block: 176:66-179:19"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/tools/run/linenoise.cpp/linenoise.cpp","call function: 177:16-177:20","call in function: open@328-332","callee=fopen","basic block: 176:66-179:19"
"Path: /home/sixsquare/codeQL/projects/llama.cpp/vendor/stb/stb_image.h","call function: 1360:8-1360:12","call in function: stbi__fopen@1337-1363","callee=fopen","basic block: 1338:1-1337:24"
