"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/luau/Analysis/src/AstJsonEncoder.cpp","call function: 128:13-128:20","call in function: write@108-132","callee=snprintf","basic block: 126:9-130:18"
"Path: /home/sixsquare/codeQL/projects/luau/Analysis/src/ToString.cpp","call function: 268:13-268:20","call in function: emitLevel@255-271","callee=snprintf","basic block: 264:9-269:16"
"Path: /home/sixsquare/codeQL/projects/luau/Ast/src/Parser.cpp","call function: 3148:9-3148:16","call in function: parseDouble@3124-3155","callee=snprintf","basic block: 3146:5-3150:35"
"Path: /home/sixsquare/codeQL/projects/luau/Ast/src/PrettyPrinter.cpp","call function: 507:38-507:45","call in function: visualize@461-826","callee=snprintf","basic block: 505:21-508:38"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 398:9-398:15","call in function: main@354-498","callee=fprintf","basic block: 397:5-498:1"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 491:13-491:19","call in function: main@354-498","callee=fprintf","basic block: 490:9-490:33"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 92:9-92:15","call in function: reportModuleResult@86-124","callee=fprintf","basic block: 91:5-124:1"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 98:9-98:15","call in function: reportModuleResult@86-124","callee=fprintf","basic block: 97:5-124:1"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 44:9-44:15","call in function: report@39-63","callee=fprintf","basic block: 43:5-45:14"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 54:9-54:15","call in function: report@39-63","callee=fprintf","basic block: 54:9-55:14"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Analyze.cpp","call function: 60:9-60:15","call in function: report@39-63","callee=fprintf","basic block: 58:5-61:14"
"Path: /home/sixsquare/codeQL/projects/luau/Ast/src/StringUtils.cpp","call function: 22:22-22:30","call in function: vformatAppend@15-32","callee=vsnprintf","basic block: 16:1-26:23"
"Path: /home/sixsquare/codeQL/projects/luau/Ast/src/StringUtils.cpp","call function: 31:5-31:13","call in function: vformatAppend@15-32","callee=vsnprintf","basic block: 29:5-32:1"
"Path: /home/sixsquare/codeQL/projects/luau/CLI/src/Ast.cpp","call function: 56:9-56:15","call in function: main@24-84","callee=fprintf","basic block: 55:5-84:1"
