"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 1449:13-1449:23","call in function: parse_date@1442-1469","callee=boost::regex_match","basic block: 1443:1-1449:23"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 1449:13-1449:23","call in function: parse_date@1442-1469","callee=boost::regex","basic block: 1443:1-1449:23"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 736:13-736:23","call in function: format_address@715-791","callee=boost::regex_match","basic block: 733:5-736:23"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 736:13-736:23","call in function: format_address@715-791","callee=boost::regex","basic block: 733:5-736:23"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 741:18-741:28","call in function: format_address@715-791","callee=boost::regex_match","basic block: 741:14-741:28"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 741:18-741:28","call in function: format_address@715-791","callee=boost::regex","basic block: 741:14-741:28"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 770:18-770:28","call in function: format_address@715-791","callee=boost::regex_match","basic block: 770:14-770:28"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 770:18-770:28","call in function: format_address@715-791","callee=boost::regex","basic block: 770:14-770:28"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 694:14-694:24","call in function: format_address_list@672-712","callee=boost::regex_match","basic block: 693:5-694:50"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 694:14-694:24","call in function: format_address_list@672-712","callee=boost::regex","basic block: 693:5-694:50"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 516:10-516:20","call in function: add_header@513-521","callee=boost::regex_match","basic block: 514:1-516:54"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 516:10-516:20","call in function: add_header@513-521","callee=boost::regex","basic block: 514:1-516:54"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 518:10-518:20","call in function: add_header@513-521","callee=boost::regex_match","basic block: 518:5-518:56"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 518:10-518:20","call in function: add_header@513-521","callee=boost::regex","basic block: 518:5-518:56"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 362:10-362:20","call in function: add_references@358-365","callee=boost::regex_match","basic block: 359:1-362:40"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 362:10-362:20","call in function: add_references@358-365","callee=boost::regex","basic block: 359:1-362:40"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 346:10-346:20","call in function: add_in_reply_to@342-349","callee=boost::regex_match","basic block: 343:1-346:36"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 346:10-346:20","call in function: add_in_reply_to@342-349","callee=boost::regex","basic block: 343:1-346:36"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 329:9-329:19","call in function: message_id@324-333","callee=boost::regex_match","basic block: 326:19-329:19"
"Path: /home/sixsquare/codeQL/projects/mailio/src/message.cpp","call function: 329:9-329:19","call in function: message_id@324-333","callee=boost::regex","basic block: 326:19-329:19"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 865:10-865:20","call in function: parse_header_name_value@851-878","callee=boost::regex_match","basic block: 864:5-865:55"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 865:10-865:20","call in function: parse_header_name_value@851-878","callee=boost::regex","basic block: 864:5-865:55"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 876:50-876:60","call in function: parse_header_name_value@851-878","callee=boost::regex_match","basic block: 876:62-876:97"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 876:50-876:60","call in function: parse_header_name_value@851-878","callee=boost::regex","basic block: 876:62-876:97"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 538:50-538:50","call in function: parse_many_ids@530-557","callee=boost::regex","basic block: 535:5-551:5"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 543:12-543:23","call in function: parse_many_ids@530-557","callee=boost::regex","basic block: 543:25-543:23"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 543:12-543:23","call in function: parse_many_ids@530-557","callee=boost::regex_search","basic block: 543:25-543:23"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 370:9-370:19","call in function: content_id@365-374","callee=boost::regex_match","basic block: 367:19-370:19"
"Path: /home/sixsquare/codeQL/projects/mailio/src/mime.cpp","call function: 370:9-370:19","call in function: content_id@365-374","callee=boost::regex","basic block: 367:19-370:19"
