"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/blingfire-src/blingfireclient.library/src/FAImageDump.cpp","call function: 97:15-97:46","call in function: FALoadHeap@92-118","callee=fopen","basic block: 96:5-98:91"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2150:10-2150:16","call in function: FReopen@2149-2151","callee=freopen","basic block: 2149:72-2149:20"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2145:10-2145:14","call in function: FOpen@2137-2147","callee=fopen","basic block: 2137:56-2137:18"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1142:29-1142:37","call in function: CapturedStream@1071-1153","callee=mkstemp","basic block: 1071:70-1143:25"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libjpeg/jcprepct.c","call function: 341:5-341:25","call in function: jinit_c_prep_controller@319-358","callee=creat","basic block: 337:45-341:25"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libjpeg/jquant1.c","call function: 838:3-838:17","call in function: jinit_1pass_quantizer@817-849","callee=creat","basic block: 838:3-847:38"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libjpeg/jquant1.c","call function: 839:3-839:19","call in function: jinit_1pass_quantizer@817-849","callee=creat","basic block: 838:3-847:38"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libjpeg/jquant1.c","call function: 767:7-767:23","call in function: start_pass_1_quant@738-786","callee=creat","basic block: 767:7-767:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libjpeg/jquant1.c","call function: 770:7-770:27","call in function: start_pass_1_quant@738-786","callee=creat","basic block: 770:7-770:27"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libpng/pngread.c","call function: 1508:21-1508:25","call in function: png_image_begin_read_from_file@1502-1537","callee=fopen","basic block: 1507:7-1510:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/libpng/pngwrite.c","call function: 2337:21-2337:25","call in function: png_image_write_to_file@2328-2392","callee=fopen","basic block: 2336:7-2339:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dlib-src/dlib/external/zlib/gzlib.c","call function: 245:9-245:12","call in function: gz_open@91-267","callee=open","basic block: 245:28-245:12"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dr_libs-src/dr_flac.h","call function: 8725:19-8725:23","call in function: drflac_wfopen@8643-8737","callee=fopen","basic block: 8715:40-8731:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dr_libs-src/dr_flac.h","call function: 8608:19-8608:23","call in function: drflac_fopen@8582-8622","callee=fopen","basic block: 8608:9-8611:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dr_libs-src/dr_mp3.h","call function: 3499:19-3499:23","call in function: drmp3_wfopen@3417-3511","callee=fopen","basic block: 3489:40-3505:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dr_libs-src/dr_mp3.h","call function: 3383:19-3383:23","call in function: drmp3_fopen@3357-3397","callee=fopen","basic block: 3383:9-3386:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dr_libs-src/dr_wav.h","call function: 5135:19-5135:23","call in function: drwav_wfopen@5053-5147","callee=fopen","basic block: 5125:40-5141:23"
"Path: /home/sixsquare/codeQL/projects/onnxruntime-extensions/build/_deps/dr_libs-src/dr_wav.h","call function: 5018:19-5018:23","call in function: drwav_fopen@4992-5032","callee=fopen","basic block: 5018:9-5021:23"
