"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/FieldImplementation.cxx","call function: 716:22-716:55","call in function: exportToVTKFile@714-733","callee=std::basic_ofstream::basic_ofstream","basic block: 715:1-717:7"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/FieldImplementation.cxx","call function: 716:22-716:54","call in function: exportToVTKFile@714-733","callee=std::filesystem::path","basic block: 716:22-716:54"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/CSVParser.cxx","call function: 94:8-94:56","call in function: load@92-196","callee=std::basic_ifstream::basic_ifstream","basic block: 93:1-94:63"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/CSVParser.cxx","call function: 112:17-112:22","call in function: load@92-196","callee=std::basic_ifstream::basic_ifstream","basic block: 109:3-142:28"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/CSVParser.cxx","call function: 114:10-114:13","call in function: load@92-196","callee=std::basic_ifstream::open","basic block: 109:3-142:28"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/CSVParser.cxx","call function: 94:22-94:55","call in function: load@92-196","callee=std::filesystem::path","basic block: 94:8-94:55"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/CSVParser.cxx","call function: 114:15-114:48","call in function: load@92-196","callee=std::filesystem::path","basic block: 114:15-114:48"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/SampleImplementation.cxx","call function: 1943:25-1943:58","call in function: exportToCSVFile@1933-1990","callee=std::basic_ofstream::basic_ofstream","basic block: 1943:3-1944:18"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Stat/SampleImplementation.cxx","call function: 1943:25-1943:57","call in function: exportToCSVFile@1933-1990","callee=std::filesystem::path","basic block: 1943:25-1943:57"
"Path: /home/sixsquare/codeQL/projects/openturns/lib/src/Base/Geom/Mesh.cxx","call function: 1094:22-1094:53","call in function: exportToVTKFile@1091-1099","callee=std::basic_ofstream::basic_ofstream","basic block: 1093:1-1095:7"
