"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/src/agent/realmain.cpp","call function: 394:9-394:14","call in function: RealMain@382-398","callee=execvp","basic block: 386:5-395:5"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/src/agent/realmain.cpp","call function: 394:9-394:14","call in function: RealMain@382-398","callee=execv","basic block: 386:5-395:5"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_backbone_multicast_routing.cpp","call function: 90:18-90:56","call in function: MainloopProcess@86-118","callee=std::system","basic block: 87:1-117:5"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_backbone_multicast_routing.cpp","call function: 112:28-112:66","call in function: MainloopProcess@86-118","callee=std::system","basic block: 112:9-113:25"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_backbone_multicast_routing.cpp","call function: 59:49-59:53","call in function: Exec@55-70","callee=popen","basic block: 56:1-60:13"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 122:15-122:20","call in function: TestBody@101-130","callee=system","basic block: 122:5-122:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 126:15-126:20","call in function: TestBody@101-130","callee=system","basic block: 126:5-126:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 129:15-129:20","call in function: TestBody@101-130","callee=system","basic block: 129:5-129:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 98:15-98:20","call in function: TestBody@86-99","callee=system","basic block: 98:5-98:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 83:15-83:20","call in function: TestBody@70-84","callee=system","basic block: 83:5-83:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 67:15-67:20","call in function: TestBody@54-68","callee=system","basic block: 67:5-67:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/tests/gtest/test_logging.cpp","call function: 51:15-51:20","call in function: TestBody@39-52","callee=system","basic block: 51:5-51:29"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/third_party/openthread/repo/src/posix/platform/hdlc_interface.cpp","call function: 700:29-700:34","call in function: ForkPty@661-709","callee=execvp","basic block: 700:9-700:56"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/third_party/openthread/repo/src/posix/platform/hdlc_interface.cpp","call function: 700:29-700:34","call in function: ForkPty@661-709","callee=execv","basic block: 700:9-700:56"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/third_party/openthread/repo/src/posix/platform/utils.cpp","call function: 100:12-100:16","call in function: ExecuteCommand@87-120","callee=popen","basic block: 88:1-101:59"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/third_party/openthread/repo/src/posix/platform/utils.cpp","call function: 111:16-111:21","call in function: ExecuteCommand@87-120","callee=pclose","basic block: 111:5-113:57"
"Path: /home/sixsquare/codeQL/projects/ot-br-posix/src/utils/system_utils.cpp","call function: 62:16-62:21","call in function: ExecuteCommand@52-74","callee=system","basic block: 53:1-64:21"
