"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/build/googletest-src/googletest/src/gtest-death-test.cc","call function: 1206:3-1206:7","call in function: ExecDeathTestChildMain@1185-1210","callee=execv","basic block: 1206:3-1207:16"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/build/googletest-src/googletest/src/gtest.cc","call function: 1220:14-1220:43","call in function: GetTimeInMillis@1218-1223","callee=std::system","basic block: 1218:32-1218:28"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/build/googletest-src/googletest/src/gtest.cc","call function: 1221:14-1221:51","call in function: GetTimeInMillis@1218-1223","callee=std::system","basic block: 1218:32-1218:28"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/bench.cc","call function: 119:57-119:82","call in function: elapsed@117-120","callee=std::system","basic block: 118:5-117:24"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/bench.cc","call function: 115:29-115:54","call in function: reset@115-115","callee=std::system","basic block: 115:18-115:14"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/emplace.cc","call function: 112:15-112:53","call in function: _test@109-126","callee=std::system","basic block: 110:1-114:24"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/emplace.cc","call function: 121:15-121:53","call in function: _test@109-126","callee=std::system","basic block: 121:5-123:42"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/matt.cc","call function: 22:56-22:94","call in function: ~Timer@20-24","callee=std::system","basic block: 21:5-20:10"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 392:14-392:39","call in function: main@371-507","callee=std::system","basic block: 379:4-397:26"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 425:15-425:40","call in function: main@371-507","callee=std::system","basic block: 425:7-429:25"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 434:17-434:42","call in function: main@371-507","callee=std::system","basic block: 434:7-436:20"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 467:15-467:40","call in function: main@371-507","callee=std::system","basic block: 467:7-507:1"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 472:14-472:39","call in function: main@371-507","callee=std::system","basic block: 467:7-507:1"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 486:13-486:38","call in function: main@371-507","callee=std::system","basic block: 467:7-507:1"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil4map.cc","call function: 490:12-490:37","call in function: main@371-507","callee=std::system","basic block: 467:7-507:1"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/p_bench.cc","call function: 27:30-27:68","call in function: stop@27-27","callee=std::system","basic block: 27:22-27:15"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/p_bench.cc","call function: 26:31-26:69","call in function: start@26-26","callee=std::system","basic block: 26:22-26:16"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/serialize.cc","call function: 60:15-60:53","call in function: showtime@58-65","callee=std::system","basic block: 59:1-58:13"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/serialize.cc","call function: 62:15-62:53","call in function: showtime@58-65","callee=std::system","basic block: 59:1-58:13"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil.cc","call function: 92:20-92:45","call in function: show_time@91-96","callee=std::system","basic block: 91:47-91:4"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil.cc","call function: 92:20-92:45","call in function: show_time@91-96","callee=std::system","basic block: 91:47-91:12"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil.cc","call function: 94:70-94:95","call in function: show_time@91-96","callee=std::system","basic block: 91:47-91:4"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil.cc","call function: 94:70-94:95","call in function: show_time@91-96","callee=std::system","basic block: 91:47-91:12"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil.cc","call function: 110:41-110:66","call in function: stop@110-110","callee=std::system","basic block: 110:30-110:15"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/llil.cc","call function: 109:41-109:66","call in function: start@109-109","callee=std::system","basic block: 109:30-109:16"
"Path: /home/sixsquare/codeQL/projects/parallel-hashmap/examples/mt_word_counter.cc","call function: 20:9-20:14","call in function: main@17-84","callee=system","basic block: 17:12-20:89"
