"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/core/floatfile.cpp","call function: 41:15-41:19","call in function: ReadFloatFile@40-82","callee=fopen","basic block: 40:70-42:10"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/core/imageio.cpp","call function: 442:10-442:14","call in function: WriteImagePFM@437-482","callee=fopen","basic block: 438:50-443:11"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/core/imageio.cpp","call function: 360:16-360:20","call in function: ReadImagePFM@350-435","callee=fopen","basic block: 351:45-361:11"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/core/parser.cpp","call function: 112:14-112:17","call in function: CreateFromFile@98-198","callee=open","basic block: 112:5-113:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/googletest.h","call function: 465:14-465:18","call in function: WriteToFile@464-468","callee=fopen","basic block: 464:72-464:30"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/googletest.h","call function: 441:14-441:18","call in function: Munge@440-462","callee=fopen","basic block: 440:52-442:19"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/googletest.h","call function: 370:23-370:27","call in function: GetCapturedTestOutput@360-378","callee=fopen","basic block: 367:3-360:42"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/googletest.h","call function: 292:18-292:21","call in function: Capture@285-301","callee=open","basic block: 292:5-295:23"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/symbolize.cc","call function: 516:21-516:24","call in function: OpenObjectFileContainingPcAndGetStartAddress@507-628","callee=open","basic block: 516:3-516:54"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/symbolize.cc","call function: 617:25-617:28","call in function: OpenObjectFileContainingPcAndGetStartAddress@507-628","callee=open","basic block: 617:5-617:47"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/logging.cc","call function: 1859:12-1859:15","call in function: TruncateLogFile@1845-1921","callee=open","basic block: 1859:3-1860:14"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/logging.cc","call function: 908:12-908:15","call in function: CreateLogfile@904-961","callee=open","basic block: 904:66-909:14"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/logging.cc","call function: 1541:5-1541:11","call in function: SendToSyslogAndLog@1536-1556","callee=open","basic block: 1540:32-1544:33"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/logging_unittest.cc","call function: 843:18-843:21","call in function: TestTruncate@811-850","callee=open","basic block: 836:3-843:57"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/logging_unittest.cc","call function: 768:18-768:21","call in function: TestOneTruncate@765-809","callee=open","basic block: 766:69-768:62"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/ext/glog/src/logging_unittest.cc","call function: 659:16-659:20","call in function: CheckFile@654-670","callee=fopen","basic block: 659:3-660:21"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/gtest/gtest.h","call function: 2892:10-2892:16","call in function: FReopen@2891-2893","callee=freopen","basic block: 2891:72-2891:20"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/gtest/gtest.h","call function: 2888:10-2888:14","call in function: FOpen@2887-2889","callee=fopen","basic block: 2887:56-2887:18"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 554:9-554:26","call in function: operator()@553-555","callee=creat","basic block: 553:57-553:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 548:9-548:26","call in function: operator()@547-549","callee=creat","basic block: 547:57-547:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 542:9-542:26","call in function: operator()@541-543","callee=creat","basic block: 541:57-541:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 536:9-536:26","call in function: operator()@535-537","callee=creat","basic block: 535:57-535:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 530:9-530:24","call in function: operator()@529-531","callee=creat","basic block: 529:57-529:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 524:9-524:24","call in function: operator()@523-525","callee=creat","basic block: 523:57-523:16"
"Path: /home/sixsquare/codeQL/projects/pbrt-v3/src/tests/bsdfs.cpp","call function: 518:9-518:24","call in function: operator()@517-519","callee=creat","basic block: 517:57-517:16"
