"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/picobench/include/picobench/picobench.hpp","call function: 896:51-896:51","call in function: run_benchmarks@890-1004","callee=std::rand","basic block: 895:9-896:53"
"Path: /home/sixsquare/codeQL/projects/picobench/include/picobench/picobench.hpp","call function: 896:31-896:50","call in function: run_benchmarks@890-1004","callee=std::rand","basic block: 896:31-896:50"
"Path: /home/sixsquare/codeQL/projects/picobench/include/picobench/picobench.hpp","call function: 896:31-896:50","call in function: run_benchmarks@890-1004","callee=std::rand","basic block: 895:9-896:53"
"Path: /home/sixsquare/codeQL/projects/picobench/include/picobench/picobench.hpp","call function: 1560:15-1560:55","call in function: now@1558-1563","callee=std::time","basic block: 1559:1-1558:46"
"Path: /home/sixsquare/codeQL/projects/picobench/build/_deps/doctest-lib-src/doctest/parts/doctest.cpp","call function: 306:9-306:20","call in function: getCurrentTicks@304-308","callee=gettimeofday","basic block: 304:31-304:27"
"Path: /home/sixsquare/codeQL/projects/picobench/build/_deps/doctest-lib-src/doctest/parts/doctest.cpp","call function: 2632:17-2632:25","call in function: getCurrentTimestamp@2628-2647","callee=time","basic block: 2628:54-2628:50"
"Path: /home/sixsquare/codeQL/projects/picobench/build/_deps/doctest-lib-src/doctest/parts/doctest.cpp","call function: 3798:13-3798:22","call in function: run@3704-3966","callee=srand","basic block: 3797:59-3802:47"
"Path: /home/sixsquare/codeQL/projects/picobench/build/_deps/doctest-lib-src/doctest/parts/doctest.cpp","call function: 3803:33-3803:41","call in function: run@3704-3966","callee=rand","basic block: 3802:62-3802:59"
"Path: /home/sixsquare/codeQL/projects/picobench/example/basic.cpp","call function: 35:21-35:24","call in function: rand_deque@30-37","callee=rand","basic block: 33:5-33:19"
"Path: /home/sixsquare/codeQL/projects/picobench/example/basic.cpp","call function: 25:21-25:24","call in function: rand_vector_reserve@19-27","callee=rand","basic block: 23:5-23:19"
"Path: /home/sixsquare/codeQL/projects/picobench/example/basic.cpp","call function: 14:21-14:24","call in function: rand_vector@9-16","callee=rand","basic block: 12:5-12:19"
