"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/ParallelSieve.cpp","call function: 146:15-146:44","call in function: sieve@132-192","callee=std::system","basic block: 144:3-181:18"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/ParallelSieve.cpp","call function: 187:15-187:44","call in function: sieve@132-192","callee=std::system","basic block: 187:5-191:3"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/app/stressTest.cpp","call function: 296:24-296:53","call in function: stressTest@291-409","callee=std::system","basic block: 295:3-394:23"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/app/stressTest.cpp","call function: 326:21-326:50","call in function: operator()@302-386","callee=std::system","basic block: 0:0-333:37"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/app/stressTest.cpp","call function: 328:21-328:50","call in function: operator()@302-386","callee=std::system","basic block: 0:0-333:37"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/PrimeSieveClass.cpp","call function: 285:13-285:42","call in function: sieve@277-300","callee=std::system","basic block: 284:3-287:17"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/PrimeSieveClass.cpp","call function: 296:13-296:42","call in function: sieve@277-300","callee=std::system","basic block: 296:3-300:1"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/app/test.cpp","call function: 195:13-195:42","call in function: test@193-212","callee=std::system","basic block: 194:1-193:9"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/app/test.cpp","call function: 206:13-206:42","call in function: test@193-212","callee=std::system","basic block: 194:1-193:9"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/nthPrime.cpp","call function: 127:13-127:42","call in function: negativeNthPrime@116-178","callee=std::system","basic block: 126:3-140:45"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/nthPrime.cpp","call function: 173:13-173:42","call in function: negativeNthPrime@116-178","callee=std::system","basic block: 173:3-177:14"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/nthPrime.cpp","call function: 62:13-62:42","call in function: nthPrime@52-113","callee=std::system","basic block: 61:3-75:51"
"Path: /home/sixsquare/codeQL/projects/primesieve/src/nthPrime.cpp","call function: 108:13-108:42","call in function: nthPrime@52-113","callee=std::system","basic block: 108:3-112:14"
