"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/protobuf/src/google/protobuf/micro_string_test.cc","call function: 399:17-399:20","call in function: TestBody@390-404","callee=time","basic block: 396:58-401:27"
"Path: /home/sixsquare/codeQL/projects/protobuf/src/google/protobuf/util/time_util_test.cc","call function: 215:18-215:21","call in function: TestBody@214-220","callee=time","basic block: 214:37-217:74"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/base/internal/sysinfo.cc","call function: 242:12-242:24","call in function: ReadMonotonicClockNanos@239-251","callee=clock_gettime","basic block: 239:42-246:13"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/debugging/failure_signal_handler.cc","call function: 269:32-269:35","call in function: WriteSignalMessage@257-277","callee=time","basic block: 266:61-267:12"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/debugging/failure_signal_handler.cc","call function: 273:39-273:42","call in function: WriteSignalMessage@257-277","callee=time","basic block: 271:10-272:12"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/synchronization/internal/kernel_timeout.cc","call function: 43:47-43:62","call in function: SteadyClockNow@38-45","callee=std::time","basic block: 42:3-44:12"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/synchronization/internal/kernel_timeout.cc","call function: 200:12-200:66","call in function: ToChronoTimePoint@198-209","callee=std::time","basic block: 199:23-200:66"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/synchronization/internal/kernel_timeout.cc","call function: 160:18-160:30","call in function: MakeClockAbsoluteTimespec@147-170","callee=clock_gettime","basic block: 160:32-160:71"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/time/internal/get_current_time_posix.inc","call function: 16:18-16:30","call in function: GetCurrentTimeNanosFromSystem@13-20","callee=clock_gettime","basic block: 16:3-17:51"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/time/format.cc","call function: 48:10-48:52","call in function: unix_epoch@47-50","callee=std::time","basic block: 47:53-47:49"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/time/internal/cctz/src/time_zone_if.h","call function: 70:10-70:46","call in function: FromUnixSeconds@69-73","callee=std::time","basic block: 69:65-69:42"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/time/internal/cctz/src/time_zone_if.h","call function: 65:16-65:52","call in function: ToUnixSeconds@64-68","callee=std::time","basic block: 64:71-64:38"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/time/internal/cctz/src/time_zone_libc.cc","call function: 244:40-244:63","call in function: MakeTime@238-307","callee=std::time","basic block: 243:41-244:24"
"Path: /home/sixsquare/codeQL/projects/protobuf/build/_deps/absl-src/absl/time/internal/cctz/src/time_zone_libc.cc","call function: 242:40-242:63","call in function: MakeTime@238-307","callee=std::time","basic block: 241:41-242:24"
