"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 12645:11-12645:41","call in function: create@12640-12646","callee=pugi::xpath_query::xpath_query","basic block: 12645:4-12645:41"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13477:16-13477:28","call in function: select_single_node@13475-13478","callee=pugi::xpath_query::evaluate_node","basic block: 13476:2-13475:53"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13471:17-13471:33","call in function: select_single_node@13469-13473","callee=pugi::xpath_query::xpath_query","basic block: 13470:2-13469:53"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13472:12-13472:24","call in function: select_single_node@13469-13473","callee=pugi::xpath_query::evaluate_node","basic block: 13470:2-13469:53"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13466:16-13466:32","call in function: select_nodes@13464-13467","callee=pugi::xpath_query::evaluate_node","basic block: 13465:2-13464:51"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13466:16-13466:32","call in function: select_nodes@13464-13467","callee=pugi::xpath_query::evaluate_node_set","basic block: 13465:2-13464:51"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13460:17-13460:33","call in function: select_nodes@13458-13462","callee=pugi::xpath_query::xpath_query","basic block: 13459:2-13458:51"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13461:12-13461:28","call in function: select_nodes@13458-13462","callee=pugi::xpath_query::evaluate_node","basic block: 13459:2-13458:51"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13461:12-13461:28","call in function: select_nodes@13458-13462","callee=pugi::xpath_query::evaluate_node_set","basic block: 13459:2-13458:51"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13455:16-13455:28","call in function: select_node@13453-13456","callee=pugi::xpath_query::evaluate_node","basic block: 13454:2-13453:46"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13449:17-13449:33","call in function: select_node@13447-13451","callee=pugi::xpath_query::xpath_query","basic block: 13448:2-13447:46"
"Path: /home/sixsquare/codeQL/projects/pugixml/src/pugixml.cpp","call function: 13450:12-13450:24","call in function: select_node@13447-13451","callee=pugi::xpath_query::evaluate_node","basic block: 13448:2-13447:46"
