"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/endfile.c","call function: 80:14-80:18","call in function: t_runc@62-119","callee=fopen","basic block: 79:12-80:48"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/endfile.c","call function: 86:13-86:17","call in function: t_runc@62-119","callee=fopen","basic block: 86:2-86:41"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/endfile.c","call function: 87:13-87:19","call in function: t_runc@62-119","callee=tmpfile","basic block: 87:13-87:22"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/endfile.c","call function: 97:13-97:19","call in function: t_runc@62-119","callee=freopen","basic block: 97:2-97:47"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/endfile.c","call function: 31:12-31:16","call in function: f_end@20-37","callee=fopen","basic block: 28:19-31:36"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/err.c","call function: 355:13-355:19","call in function: f__nowwriting@342-375","callee=freopen","basic block: 353:22-355:52"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/err.c","call function: 362:10-362:16","call in function: f__nowwriting@342-375","callee=freopen","basic block: 359:9-362:56"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/err.c","call function: 323:9-323:15","call in function: f__nowreading@310-336","callee=freopen","basic block: 320:4-323:51"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/err.c","call function: 325:11-325:17","call in function: f__nowreading@310-336","callee=freopen","basic block: 323:54-325:51"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/open.c","call function: 335:22-335:28","call in function: f_open@222-417","callee=tmpfile","basic block: 312:5-335:31"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/open.c","call function: 382:16-382:20","call in function: f_open@222-417","callee=fopen","basic block: 369:4-382:38"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/open.c","call function: 391:14-391:18","call in function: f_open@222-417","callee=fopen","basic block: 391:4-391:43"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/open.c","call function: 392:16-392:20","call in function: f_open@222-417","callee=fopen","basic block: 391:46-392:42"
"Path: /home/sixsquare/codeQL/projects/pykep/src/third_party/cspice/open.c","call function: 394:21-394:25","call in function: f_open@222-417","callee=fopen","basic block: 394:12-394:47"
