"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/include/reckless/detail/spsc_event.hpp","call function: 71:13-71:66","call in function: wait@64-93","callee=std::system","basic block: 71:13-71:66"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/include/reckless/detail/spsc_event.hpp","call function: 71:44-71:63","call in function: wait@64-93","callee=std::system","basic block: 71:13-71:66"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/include/reckless/detail/spsc_event.hpp","call function: 87:17-87:70","call in function: wait@64-93","callee=std::system","basic block: 87:17-87:70"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/include/reckless/detail/spsc_event.hpp","call function: 87:48-87:67","call in function: wait@64-93","callee=std::system","basic block: 87:17-87:70"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/file_writer.cpp","call function: 52:9-52:62","call in function: open_file@44-54","callee=std::system","basic block: 52:9-52:62"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/file_writer.cpp","call function: 52:40-52:59","call in function: open_file@44-54","callee=std::system","basic block: 52:9-52:62"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/fd_writer.cpp","call function: 72:20-72:39","call in function: message@70-73","callee=std::system","basic block: 71:9-70:27"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/fd_writer.cpp","call function: 68:24-68:43","call in function: equivalent@63-69","callee=std::system","basic block: 68:17-68:56"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/fd_writer.cpp","call function: 50:24-50:43","call in function: equivalent@45-51","callee=std::system","basic block: 50:17-50:56"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/fd_writer.cpp","call function: 43:20-43:39","call in function: default_error_condition@41-44","callee=std::system","basic block: 42:9-41:52"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/crash_handler_unix.cpp","call function: 112:13-112:66","call in function: uninstall_crash_handler@104-116","callee=std::system","basic block: 112:13-112:66"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/crash_handler_unix.cpp","call function: 112:44-112:63","call in function: uninstall_crash_handler@104-116","callee=std::system","basic block: 112:13-112:66"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/crash_handler_unix.cpp","call function: 84:17-84:70","call in function: install_crash_handler@60-102","callee=std::system","basic block: 84:17-84:70"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/crash_handler_unix.cpp","call function: 84:48-84:67","call in function: install_crash_handler@60-102","callee=std::system","basic block: 84:17-84:70"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/crash_handler_unix.cpp","call function: 93:21-93:74","call in function: install_crash_handler@60-102","callee=std::system","basic block: 93:21-93:74"
"Path: /home/sixsquare/codeQL/projects/reckless/reckless/src/crash_handler_unix.cpp","call function: 93:52-93:71","call in function: install_crash_handler@60-102","callee=std::system","basic block: 93:21-93:74"
