"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/functional/UploadTests.cpp","call function: 40:15-40:15","call in function: main@38-55","callee=boost::filesystem::path","basic block: 39:1-43:21"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/functional/UploadTests.cpp","call function: 42:23-42:41","call in function: main@38-55","callee=std::basic_ofstream::basic_ofstream","basic block: 39:1-43:21"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/functional/UploadTests.cpp","call function: 42:33-42:38","call in function: main@38-55","callee=boost::filesystem::path","basic block: 39:1-43:21"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/functional/UploadTests.cpp","call function: 52:5-52:29","call in function: main@38-55","callee=boost::filesystem::remove","basic block: 46:5-38:8"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/functional/UploadTests.cpp","call function: 40:17-40:48","call in function: main@38-55","callee=boost::filesystem::path","basic block: 40:17-40:48"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 119:9-119:33","call in function: boost_se_body@118-120","callee=boost::filesystem::remove","basic block: 118:32-118:30"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 81:9-81:33","call in function: boost_se_body@80-82","callee=boost::filesystem::remove","basic block: 80:32-80:30"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 123:27-123:43","call in function: TestBody@115-141","callee=std::basic_ofstream::basic_ofstream","basic block: 115:30-129:19"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 123:35-123:40","call in function: TestBody@115-141","callee=boost::filesystem::path","basic block: 115:30-129:19"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 128:18-128:33","call in function: TestBody@115-141","callee=std::basic_ifstream::basic_ifstream","basic block: 115:30-129:19"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 128:26-128:30","call in function: TestBody@115-141","callee=boost::filesystem::path","basic block: 115:30-129:19"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 135:18-135:33","call in function: TestBody@115-141","callee=std::basic_ofstream::basic_ofstream","basic block: 135:5-115:28"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 135:26-135:30","call in function: TestBody@115-141","callee=boost::filesystem::path","basic block: 135:5-115:28"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 141:1-141:1","call in function: TestBody@115-141","callee=boost::filesystem::path","basic block: 135:5-115:28"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 85:27-85:43","call in function: TestBody@78-100","callee=std::basic_ofstream::basic_ofstream","basic block: 78:48-97:44"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 85:35-85:40","call in function: TestBody@78-100","callee=boost::filesystem::path","basic block: 78:48-97:44"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 93:18-93:34","call in function: TestBody@78-100","callee=std::basic_ifstream::basic_ifstream","basic block: 78:48-97:44"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 93:26-93:31","call in function: TestBody@78-100","callee=boost::filesystem::path","basic block: 78:48-97:44"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/tests/unit/Iostream2JsonTests.cpp","call function: 100:1-100:1","call in function: TestBody@78-100","callee=boost::filesystem::path","basic block: 99:57-78:46"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/include/restc-cpp/RequestBuilder.h","call function: 279:45-279:48","call in function: File@277-281","callee=boost::filesystem::path","basic block: 279:17-279:48"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/include/restc-cpp/RequestBuilder.h","call function: 279:45-279:48","call in function: File@277-281","callee=boost::filesystem::path","basic block: 277:63-277:24"
"Path: /home/sixsquare/codeQL/projects/restc-cpp/src/RequestBodyFileImpl.cpp","call function: 25:45-25:50","call in function: RequestBodyFileImpl@21-26","callee=boost::filesystem::path","basic block: 24:5-21:23"
