"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 776:3-776:8","call in function: exec_child@775-791","callee=execvp","basic block: 775:46-788:3"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 776:3-776:8","call in function: exec_child@775-791","callee=execv","basic block: 775:46-788:3"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 778:3-778:7","call in function: exec_child@775-791","callee=execv","basic block: 775:46-788:3"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 656:3-656:31","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 657:3-657:34","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn_file_actions_addopen","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 657:3-657:34","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 658:3-658:34","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn_file_actions_addopen","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 658:3-658:34","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 659:13-659:24","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 659:13-659:24","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawnp","basic block: 640:68-660:9"
"Path: /home/sixsquare/codeQL/projects/rr/src/RecordCommand.cc","call function: 663:3-663:34","call in function: copy_preload_sources_to_trace@640-669","callee=posix_spawn","basic block: 663:3-665:28"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 229:13-229:41","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 228:3-230:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 235:9-235:41","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 235:3-236:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 235:9-235:41","call in function: DebugDirManager@212-280","callee=posix_spawn_file_actions_addclose","basic block: 235:3-236:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 241:9-241:41","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 241:3-242:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 241:9-241:41","call in function: DebugDirManager@212-280","callee=posix_spawn_file_actions_addclose","basic block: 241:3-242:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 247:9-247:40","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 247:3-248:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 247:9-247:40","call in function: DebugDirManager@212-280","callee=posix_spawn_file_actions_adddup2","basic block: 247:3-248:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 253:9-253:40","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 253:3-254:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 253:9-253:40","call in function: DebugDirManager@212-280","callee=posix_spawn_file_actions_adddup2","basic block: 253:3-254:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 262:9-262:19","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 258:3-264:14"
"Path: /home/sixsquare/codeQL/projects/rr/src/SourcesCommand.cc","call function: 269:3-269:34","call in function: DebugDirManager@212-280","callee=posix_spawn","basic block: 269:3-277:24"
"Path: /home/sixsquare/codeQL/projects/rr/src/Task.cc","call function: 3723:3-3723:8","call in function: run_initial_child@3689-3737","callee=execv","basic block: 3719:3-3735:3"
"Path: /home/sixsquare/codeQL/projects/rr/src/Task.cc","call function: 3723:3-3723:8","call in function: run_initial_child@3689-3737","callee=execve","basic block: 3719:3-3735:3"
"Path: /home/sixsquare/codeQL/projects/rr/src/launch_debugger.cc","call function: 342:3-342:9","call in function: launch_debugger@259-344","callee=execvp","basic block: 334:3-344:1"
"Path: /home/sixsquare/codeQL/projects/rr/src/launch_debugger.cc","call function: 342:3-342:9","call in function: launch_debugger@259-344","callee=execv","basic block: 334:3-344:1"
"Path: /home/sixsquare/codeQL/projects/rr/src/launch_debugger.cc","call function: 342:3-342:9","call in function: launch_debugger@259-344","callee=execvpe","basic block: 334:3-344:1"
"Path: /home/sixsquare/codeQL/projects/rr/src/record_syscall.cc","call function: 6344:11-6344:16","call in function: process_mmap@6265-6404","callee=system","basic block: 6338:44-6344:16"
