"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 53:7-53:12","call in function: log_string@51-55","callee=printf","basic block: 52:22-53:12"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 45:7-45:12","call in function: log_start@42-49","callee=printf","basic block: 43:22-47:12"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 46:7-46:12","call in function: log_start@42-49","callee=printf","basic block: 43:22-47:12"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 47:7-47:12","call in function: log_start@42-49","callee=printf","basic block: 43:22-47:12"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 61:7-61:12","call in function: log_line@59-93","callee=printf","basic block: 60:22-62:51"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 61:7-61:12","call in function: log_line@59-93","callee=printf","basic block: 60:22-62:53"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 68:9-68:14","call in function: log_line@59-93","callee=printf","basic block: 65:7-71:20"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 74:9-74:14","call in function: log_line@59-93","callee=printf","basic block: 74:9-79:20"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 76:9-76:14","call in function: log_line@59-93","callee=printf","basic block: 74:9-79:20"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 82:9-82:14","call in function: log_line@59-93","callee=printf","basic block: 82:9-84:23"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 87:9-87:14","call in function: log_line@59-93","callee=printf","basic block: 86:14-87:14"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 90:7-90:12","call in function: log_line@59-93","callee=printf","basic block: 90:7-91:12"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 91:7-91:12","call in function: log_line@59-93","callee=printf","basic block: 90:7-91:12"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 72:11-72:16","call in function: log_line@59-93","callee=printf","basic block: 71:44-71:41"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 80:11-80:16","call in function: log_line@59-93","callee=printf","basic block: 79:50-79:47"
"Path: /home/sixsquare/codeQL/projects/simdjson/src/generic/stage2/logger.h","call function: 85:9-85:14","call in function: log_line@59-93","callee=printf","basic block: 84:26-85:14"
