"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/src/cuda/cuda-surface.cpp","call function: 767:9-767:15","call in function: destroySharedTexture@757-778","callee=close","basic block: 763:5-767:15"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/src/cuda/cuda-surface.cpp","call function: 635:13-635:19","call in function: destroyFrameData@604-642","callee=close","basic block: 631:9-635:19"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/src/vulkan/vk-buffer.cpp","call function: 167:9-167:15","call in function: ~BufferImpl@155-170","callee=close","basic block: 163:5-167:15"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/src/vulkan/vk-texture.cpp","call function: 40:9-40:15","call in function: ~TextureImpl@21-43","callee=close","basic block: 36:5-40:15"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/tests/test-cmd-draw.cpp","call function: 458:23-458:39","call in function: run@456-470","callee=creat","basic block: 457:5-456:12"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/tests/test-cmd-draw.cpp","call function: 297:23-297:39","call in function: run@295-308","callee=creat","basic block: 296:5-295:12"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/tests/test-cmd-draw.cpp","call function: 136:24-136:41","call in function: createRequiredResources@113-160","callee=creat","basic block: 136:9-144:10"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/tests/test-cmd-draw.cpp","call function: 137:26-137:45","call in function: createRequiredResources@113-160","callee=creat","basic block: 136:9-144:10"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/tests/test-cmd-draw.cpp","call function: 138:23-138:39","call in function: createRequiredResources@113-160","callee=creat","basic block: 136:9-144:10"
"Path: /home/sixsquare/codeQL/projects/slang/external/slang-rhi/tests/test-buffer-barrier.cpp","call function: 161:35-161:51","call in function: GPU_TEST_ANONYMOUS_10@149-206","callee=creat","basic block: 160:5-149:54"
