"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lauxlib.c","call function: 788:12-788:16","call in function: luaL_loadfilex@776-809","callee=fopen","basic block: 786:8-789:20"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lauxlib.c","call function: 794:12-794:18","call in function: luaL_loadfilex@776-809","callee=freopen","basic block: 793:42-795:20"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 821:3-821:12","call in function: luaopen_io@819-827","callee=creat","basic block: 819:42-819:25"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 823:3-823:15","call in function: luaopen_io@819-827","callee=creat","basic block: 819:42-819:25"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 824:3-824:15","call in function: luaopen_io@819-827","callee=creat","basic block: 819:42-819:25"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 825:3-825:15","call in function: luaopen_io@819-827","callee=creat","basic block: 819:42-819:25"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 397:5-397:13","call in function: io_lines@386-410","callee=open","basic block: 395:8-399:15"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 322:7-322:15","call in function: g_iofile@318-332","callee=open","basic block: 322:7-322:15"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 303:10-303:16","call in function: io_tmpfile@301-305","callee=tmpfile","basic block: 301:38-304:22"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 275:10-275:14","call in function: io_open@269-277","callee=fopen","basic block: 275:3-276:22"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/liolib.c","call function: 263:10-263:14","call in function: opencheck@261-266","callee=fopen","basic block: 261:75-264:30"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/loadlib.c","call function: 740:3-740:18","call in function: luaopen_package@739-761","callee=creat","basic block: 739:47-739:30"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/loadlib.c","call function: 742:3-742:22","call in function: luaopen_package@739-761","callee=creat","basic block: 739:47-739:30"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/loadlib.c","call function: 435:13-435:17","call in function: readable@434-439","callee=fopen","basic block: 434:44-436:15"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/loslib.c","call function: 172:3-172:23","call in function: os_tmpname@169-177","callee=mkstemp","basic block: 169:38-172:23"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lparser.c","call function: 1926:3-1926:11","call in function: mainfunc@1923-1938","callee=open","basic block: 1923:52-1933:42"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lparser.c","call function: 1463:3-1463:13","call in function: labelstat@1457-1464","callee=creat","basic block: 1462:3-1457:21"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lparser.c","call function: 995:3-995:11","call in function: body@989-1008","callee=open","basic block: 989:69-997:14"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lparser.c","call function: 677:16-677:26","call in function: leaveblock@671-691","callee=creat","basic block: 677:5-677:69"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lstring.c","call function: 208:8-208:19","call in function: internshrstr@188-215","callee=creat","basic block: 208:3-214:11"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lstring.c","call function: 158:17-158:28","call in function: luaS_createlngstrobj@157-161","callee=creat","basic block: 157:56-157:29"
"Path: /home/sixsquare/codeQL/projects/sol2/build/_deps/lua-vanilla-src/src/lstrlib.c","call function: 1871:3-1871:17","call in function: luaopen_string@1869-1873","callee=creat","basic block: 1869:46-1869:29"
