"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/fmt/bundled/format-inl.h","call function: 1434:34-1434:63","call in function: format_system_error@1430-1439","callee=std::system","basic block: 1434:34-1434:63"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/fmt/bundled/format-inl.h","call function: 1434:34-1434:63","call in function: format_system_error@1430-1439","callee=std::system","basic block: 1431:65-1435:11"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/fmt/bundled/format-inl.h","call function: 173:3-173:51","call in function: vsystem_error@170-174","callee=std::system","basic block: 171:26-170:27"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/sinks/daily_file_sink.h","call function: 152:20-152:33","call in function: next_rotation_tp_@151-162","callee=std::system","basic block: 151:47-158:27"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/sinks/daily_file_sink.h","call function: 157:30-157:51","call in function: next_rotation_tp_@151-162","callee=std::system","basic block: 151:47-158:27"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/sinks/daily_file_sink.h","call function: 147:23-147:42","call in function: now_tm@146-149","callee=std::system","basic block: 146:41-146:8"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/sinks/daily_file_sink.h","call function: 147:23-147:42","call in function: now_tm@146-149","callee=std::system","basic block: 146:41-146:13"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/sinks/daily_file_sink.h","call function: 132:20-132:33","call in function: init_filenames_q_@127-144","callee=std::system","basic block: 127:30-140:9"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/sinks/daily_file_sink.h","call function: 90:20-90:33","call in function: daily_file_sink@72-98","callee=std::system","basic block: 90:9-95:26"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/pattern_formatter-inl.h","call function: 1005:39-1005:58","call in function: get_time_@1003-1008","callee=std::system","basic block: 1004:57-1005:37"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/pattern_formatter-inl.h","call function: 1007:32-1007:51","call in function: get_time_@1003-1008","callee=std::system","basic block: 1007:5-1007:30"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/details/os-inl.h","call function: 84:12-84:25","call in function: now@75-86","callee=std::system","basic block: 75:67-75:47"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/logger-inl.h","call function: 180:20-180:36","call in function: err_handler_@171-197","callee=std::system","basic block: 178:9-182:36"
"Path: /home/sixsquare/codeQL/projects/spdlog/include/spdlog/logger-inl.h","call function: 186:47-186:69","call in function: err_handler_@171-197","callee=std::system","basic block: 185:9-196:5"
