"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/ggml/src/ggml.c","call function: 521:5-521:17","call in function: ggml_time_us@519-523","callee=clock_gettime","basic block: 519:28-519:20"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/ggml/src/ggml.c","call function: 515:5-515:17","call in function: ggml_time_ms@513-517","callee=clock_gettime","basic block: 513:28-513:20"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/denoiser.hpp","call function: 487:16-487:29","call in function: t_to_sigma@485-488","callee=time","basic block: 485:40-485:20"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2789:21-2789:24","call in function: generate_video@2732-3129","callee=time","basic block: 2788:19-2789:33"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2498:9-2498:13","call in function: generate_image@2459-2730","callee=srand","basic block: 2497:19-2499:21"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2498:20-2498:23","call in function: generate_image@2459-2730","callee=time","basic block: 2497:19-2499:21"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2499:16-2499:19","call in function: generate_image@2459-2730","callee=rand","basic block: 2497:19-2499:21"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2139:9-2139:13","call in function: generate_image_internal@2112-2457","callee=srand","basic block: 2135:19-2140:21"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2139:20-2139:23","call in function: generate_image_internal@2112-2457","callee=time","basic block: 2135:19-2140:21"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/stable-diffusion.cpp","call function: 2140:16-2140:19","call in function: generate_image_internal@2112-2457","callee=rand","basic block: 2135:19-2140:21"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/ggml_extend.hpp","call function: 1431:40-1431:57","call in function: new_timestep_embedding@1425-1439","callee=time","basic block: 1428:86-1433:34"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/ggml_extend.hpp","call function: 1421:40-1421:57","call in function: set_timestep_embedding@1417-1423","callee=time","basic block: 1420:71-1417:45"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/examples/cli/main.cpp","call function: 1202:9-1202:13","call in function: parse_args@485-1211","callee=srand","basic block: 1201:26-1203:28"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/examples/cli/main.cpp","call function: 1202:20-1202:23","call in function: parse_args@485-1211","callee=time","basic block: 1201:26-1203:28"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/examples/cli/main.cpp","call function: 1203:23-1203:26","call in function: parse_args@485-1211","callee=rand","basic block: 1201:26-1203:28"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/thirdparty/miniz.h","call function: 8449:5-8449:8","call in function: mz_zip_writer_add_mem_ex_v2@8380-8685","callee=time","basic block: 8447:10-8450:29"
"Path: /home/sixsquare/codeQL/projects/stable-diffusion.cpp/thirdparty/zip.c","call function: 1057:23-1057:26","call in function: _zip_entry_open@935-1133","callee=time","basic block: 1055:3-1066:44"
