"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 334:13-334:17","call in function: main@300-2743","callee=fopen","basic block: 334:2-335:9"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 698:18-698:22","call in function: main@300-2743","callee=fopen","basic block: 476:3-704:12"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 701:18-701:22","call in function: main@300-2743","callee=fopen","basic block: 476:3-704:12"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 967:22-967:26","call in function: main@300-2743","callee=fopen","basic block: 728:3-1182:15"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 1005:16-1005:20","call in function: main@300-2743","callee=fopen","basic block: 728:3-1182:15"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 1180:20-1180:24","call in function: main@300-2743","callee=fopen","basic block: 728:3-1182:15"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 1190:14-1190:18","call in function: main@300-2743","callee=fopen","basic block: 1190:3-1192:15"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/xmltest.cpp","call function: 2676:18-2676:22","call in function: main@300-2743","callee=fopen","basic block: 2521:3-2696:16"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/extlibs/headers/miniaudio/miniaudio.h","call function: 13238:19-13238:23","call in function: ma_wfopen@13169-13249","callee=fopen","basic block: 13228:40-13243:23"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/extlibs/headers/miniaudio/miniaudio.h","call function: 13133:19-13133:23","call in function: ma_fopen@13107-13147","callee=fopen","basic block: 13133:9-13136:23"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/extlibs/headers/stb_image/stb_image.h","call function: 1360:8-1360:12","call in function: stbi__fopen@1337-1363","callee=fopen","basic block: 1338:1-1337:24"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/extlibs/headers/stb_image/stb_image_write.h","call function: 327:8-327:12","call in function: stbiw__fopen@304-330","callee=fopen","basic block: 305:1-304:25"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/src/SFML/System/Utils.cpp","call function: 60:12-60:21","call in function: openFile@54-62","callee=fopen","basic block: 55:1-54:19"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/src/SFML/Window/Unix/JoystickImpl.cpp","call function: 385:20-385:25","call in function: getJoystickName@380-409","callee=open","basic block: 381:1-387:15"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/src/SFML/Window/Unix/JoystickImpl.cpp","call function: 510:18-510:23","call in function: open@500-535","callee=open","basic block: 506:5-511:23"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/tinyxml2-src/tinyxml2.cpp","call function: 2334:16-2334:20","call in function: callfopen@2323-2337","callee=fopen","basic block: 2334:5-2323:22"
"Path: /home/sixsquare/codeQL/projects/supermariohd/build/_deps/sfml3-src/src/SFML/Window/Unix/WindowImplX11.cpp","call function: 124:22-124:27","call in function: findExecutableName@120-151","callee=open","basic block: 121:1-126:16"
