"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 922:4-922:31","call in function: SaveExtensionConfig@911-947","callee=write","basic block: 921:30-922:31"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 926:4-926:31","call in function: SaveExtensionConfig@911-947","callee=write","basic block: 925:29-926:31"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 930:4-930:31","call in function: SaveExtensionConfig@911-947","callee=write","basic block: 929:29-930:31"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 934:4-934:28","call in function: SaveExtensionConfig@911-947","callee=write","basic block: 933:23-934:28"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 938:4-938:31","call in function: SaveExtensionConfig@911-947","callee=write","basic block: 937:31-938:31"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 942:4-942:31","call in function: SaveExtensionConfig@911-947","callee=write","basic block: 941:31-942:31"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 423:12-423:18","call in function: GetRenderedFiles@420-443","callee=open","basic block: 420:99-423:40"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 423:12-423:18","call in function: GetRenderedFiles@420-443","callee=opendir","basic block: 420:99-423:40"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 424:18-424:24","call in function: GetRenderedFiles@420-443","callee=read","basic block: 424:26-424:37"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 424:18-424:24","call in function: GetRenderedFiles@420-443","callee=readdir","basic block: 424:26-424:37"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 442:2-442:9","call in function: GetRenderedFiles@420-443","callee=close","basic block: 442:2-420:21"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 442:2-442:9","call in function: GetRenderedFiles@420-443","callee=closedir","basic block: 442:2-420:21"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 410:13-410:19","call in function: NukeDirFiles@407-418","callee=open","basic block: 407:49-410:44"
"Path: /home/sixsquare/codeQL/projects/sws/Autorender/Autorender.cpp","call function: 410:13-410:19","call in function: NukeDirFiles@407-418","callee=opendir","basic block: 407:49-410:44"
