"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32013:3-32013:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32013:3-32021:14"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32014:3-32014:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32013:3-32021:14"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32015:3-32015:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32013:3-32021:14"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32016:3-32016:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32013:3-32021:14"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32017:3-32017:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32013:3-32021:14"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32025:5-32025:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32021:58-32021:56"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32028:3-32028:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32028:3-32052:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32030:3-32030:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32028:3-32052:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32050:5-32050:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32044:5-32051:32"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32053:3-32053:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32053:3-32056:15"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32055:3-32055:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32053:3-32056:15"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32057:5-32057:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32056:33-32056:31"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32059:3-32059:9","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32059:3-32061:23"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32063:5-32063:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32061:26-32071:5"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32064:5-32064:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32061:26-32071:5"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32065:5-32065:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32061:26-32071:5"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32069:7-32069:13","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32068:42-32070:34"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 32072:5-32072:11","call in function: outmesh2vtk@31973-32076","callee=fprintf","basic block: 32072:5-32072:11"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31847:3-31847:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31848:3-31848:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31849:3-31849:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31850:3-31850:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31851:3-31851:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31853:3-31853:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31854:3-31854:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31855:3-31855:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31847:3-31872:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31862:5-31862:11","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31860:34-31863:39"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31865:7-31865:13","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31863:42-31865:13"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31867:7-31867:13","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31866:12-31867:13"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31878:3-31878:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31875:3-31905:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31879:3-31879:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31875:3-31905:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31880:3-31880:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31875:3-31905:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31892:9-31892:15","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31888:61-31896:32"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31901:9-31901:15","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31901:9-31901:15"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31907:3-31907:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31907:3-31932:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31908:3-31908:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31907:3-31932:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31909:3-31909:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31907:3-31932:3"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31923:5-31923:11","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31921:5-31925:25"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31926:7-31926:13","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31925:28-31926:13"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31928:7-31928:13","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31927:12-31928:13"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31930:5-31930:11","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31930:5-31931:34"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31934:3-31934:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31934:3-31937:12"
"Path: /home/sixsquare/codeQL/projects/tetgen/tetgen.cxx","call function: 31935:3-31935:9","call in function: outmesh2medit@31816-31959","callee=fprintf","basic block: 31934:3-31937:12"
