"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/tileson/tests/tests_main.cpp","call function: 764:13-764:18","call in function: C_A_T_C_H_T_E_S_T_36@752-876","callee=printf","basic block: 764:13-764:18"
"Path: /home/sixsquare/codeQL/projects/tileson/tests/tests_main.cpp","call function: 769:13-769:18","call in function: C_A_T_C_H_T_E_S_T_36@752-876","callee=printf","basic block: 769:13-769:18"
"Path: /home/sixsquare/codeQL/projects/tileson/external_libs/catch.hpp","call function: 15787:9-15787:20","call in function: getFormattedDuration@15774-15790","callee=sprintf","basic block: 15774:57-15774:36"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/picojson.hpp","call function: 549:25-549:32","call in function: operator()@531-556","callee=snprintf","basic block: 547:76-550:46"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/picojson.hpp","call function: 549:25-549:32","call in function: operator()@531-556","callee=snprintf","basic block: 547:76-550:28"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/picojson.hpp","call function: 496:17-496:24","call in function: to_str@480-523","callee=snprintf","basic block: 496:126-499:51"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/picojson.hpp","call function: 1083:13-1083:20","call in function: _parse@1079-1095","callee=snprintf","basic block: 1081:46-1092:13"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/nlohmann.hpp","call function: 8759:52-8759:64","call in function: get_token_string@8749-8770","callee=snprintf","basic block: 8756:29-8760:40"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/json11.hpp","call function: 521:13-521:20","call in function: esc@518-526","callee=snprintf","basic block: 520:81-521:20"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/json11.hpp","call function: 523:13-523:20","call in function: esc@518-526","callee=snprintf","basic block: 522:16-523:20"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/json11.hpp","call function: 287:17-287:24","call in function: dump@267-302","callee=snprintf","basic block: 285:58-288:21"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/json11.hpp","call function: 259:9-259:16","call in function: dump@257-261","callee=snprintf","basic block: 257:46-257:20"
"Path: /home/sixsquare/codeQL/projects/tileson/include/external/json11.hpp","call function: 250:13-250:20","call in function: dump@247-255","callee=snprintf","basic block: 248:35-251:17"
"Path: /home/sixsquare/codeQL/projects/tileson/include/json/Gason.hpp","call function: 169:25-169:31","call in function: parse@150-184","callee=fprintf","basic block: 168:51-184:13"
"Path: /home/sixsquare/codeQL/projects/tileson/include/json/Gason.hpp","call function: 131:29-131:35","call in function: parse@107-148","callee=fprintf","basic block: 130:55-146:17"
