"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 71:10-71:16","call in function: main@52-184","callee=std::getline","basic block: 71:18-71:10"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 89:11-89:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 81:40-94:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 90:11-90:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 81:40-94:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 92:11-92:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 81:40-94:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 104:11-104:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 95:47-110:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 105:11-105:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 95:47-110:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 106:11-106:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 95:47-110:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 108:11-108:11","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 95:47-110:37"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 118:9-118:9","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 114:5-125:3"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 119:9-119:9","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 114:5-125:3"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 120:9-120:9","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 114:5-125:3"
"Path: /home/sixsquare/codeQL/projects/tracking-with-Extended-Kalman-Filter/src/main.cpp","call function: 121:9-121:9","call in function: main@52-184","callee=std::basic_istream::operator>>","basic block: 114:5-125:3"
