"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 73:35-73:67","call in function: OpenFileForReadAsFilePtr@72-74","callee=std::filesystem::path","basic block: 73:35-73:67"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 60:15-60:47","call in function: OpenFileForReadAsFilePtr@59-70","callee=std::filesystem::weakly_canonical","basic block: 59:78-61:47"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 61:18-61:40","call in function: OpenFileForReadAsFilePtr@59-70","callee=std::filesystem::exists","basic block: 59:78-61:47"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 66:8-66:17","call in function: OpenFileForReadAsFilePtr@59-70","callee=fopen","basic block: 62:3-68:20"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 66:24-66:29","call in function: OpenFileForReadAsFilePtr@59-70","callee=std::filesystem::path","basic block: 62:3-68:20"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 70:1-70:1","call in function: OpenFileForReadAsFilePtr@59-70","callee=std::filesystem::path","basic block: 69:3-59:37"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 52:35-52:67","call in function: OpenFileForWriteAsStream@51-53","callee=std::filesystem::path","basic block: 52:35-52:67"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 41:15-41:47","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::weakly_canonical","basic block: 40:86-42:37"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 42:23-42:34","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::path","basic block: 40:86-42:37"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 43:18-43:40","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::exists","basic block: 43:3-43:61"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 43:47-43:57","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::path","basic block: 43:3-43:61"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 44:26-44:36","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::path","basic block: 43:3-44:40"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 45:21-45:59","call in function: OpenFileForWriteAsStream@40-49","callee=std::basic_ofstream::basic_ofstream","basic block: 45:3-46:21"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 48:3-48:13","call in function: OpenFileForWriteAsStream@40-49","callee=std::basic_ofstream::basic_ofstream","basic block: 47:3-40:45"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 43:47-43:59","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::path","basic block: 43:47-43:59"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 44:21-44:38","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::path","basic block: 44:21-43:61"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 49:1-49:1","call in function: OpenFileForWriteAsStream@40-49","callee=std::filesystem::path","basic block: 47:3-40:45"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 33:34-33:66","call in function: OpenFileForReadAsStream@32-34","callee=std::filesystem::path","basic block: 33:34-33:66"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 21:15-21:47","call in function: OpenFileForReadAsStream@20-30","callee=std::filesystem::weakly_canonical","basic block: 20:85-22:47"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 22:18-22:40","call in function: OpenFileForReadAsStream@20-30","callee=std::filesystem::exists","basic block: 20:85-22:47"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 23:21-23:58","call in function: OpenFileForReadAsStream@20-30","callee=std::basic_ifstream::basic_ifstream","basic block: 23:3-24:21"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 29:3-29:13","call in function: OpenFileForReadAsStream@20-30","callee=std::basic_ifstream::basic_ifstream","basic block: 25:3-20:44"
"Path: /home/sixsquare/codeQL/projects/treelite/include/treelite/detail/file_utils.h","call function: 30:1-30:1","call in function: OpenFileForReadAsStream@20-30","callee=std::filesystem::path","basic block: 25:3-20:44"
