"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 295:13-296:52","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 294:9-297:56"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 297:13-297:56","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 294:9-297:56"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 301:13-301:58","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 300:9-303:52"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 302:13-303:52","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 300:9-303:52"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 315:9-315:54","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 314:5-315:54"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 319:9-320:56","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 318:5-320:56"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 331:5-331:64","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 331:5-333:29"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 334:9-334:61","call in function: Start@287-337","callee=curl_easy_setopt","basic block: 334:9-334:61"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 246:5-246:66","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 250:5-250:84","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 252:5-252:70","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 253:5-253:68","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 254:5-254:64","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 255:5-255:74","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 257:5-257:59","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 259:5-259:58","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 271:9-272:45","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 277:5-277:62","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 278:5-278:63","call in function: wxWebRequestCURL@227-279","callee=curl_easy_setopt","basic block: 245:5-279:1"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 93:5-93:78","call in function: wxWebResponseCURL@88-124","callee=curl_easy_setopt","basic block: 90:1-98:56"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 94:5-94:79","call in function: wxWebResponseCURL@88-124","callee=curl_easy_setopt","basic block: 90:1-98:56"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 100:13-101:44","call in function: wxWebResponseCURL@88-124","callee=curl_easy_setopt","basic block: 99:9-103:54"
"Path: /home/sixsquare/codeQL/projects/treesheets/build/_deps/wxwidgets-src/src/common/webrequest_curl.cpp","call function: 102:13-103:54","call in function: wxWebResponseCURL@88-124","callee=curl_easy_setopt","basic block: 99:9-103:54"
