"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/clientsession.cpp","call function: 41:18-41:21","call in function: start@39-58","callee=time","basic block: 39:29-43:9"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/clientsession.cpp","call function: 386:165-386:168","call in function: destroy@381-415","callee=time","basic block: 385:5-389:25"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/natsession.cpp","call function: 82:18-82:21","call in function: start@80-167","callee=time","basic block: 80:26-84:9"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/natsession.cpp","call function: 253:165-253:168","call in function: destroy@248-278","callee=time","basic block: 252:5-256:25"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/forwardsession.cpp","call function: 40:18-40:21","call in function: start@38-118","callee=time","basic block: 38:30-42:9"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/forwardsession.cpp","call function: 204:165-204:168","call in function: destroy@199-229","callee=time","basic block: 203:5-207:25"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/serversession.cpp","call function: 42:18-42:21","call in function: start@40-64","callee=time","basic block: 40:29-44:9"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/serversession.cpp","call function: 334:165-334:168","call in function: destroy@329-367","callee=time","basic block: 333:5-335:12"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/udpforwardsession.cpp","call function: 46:18-46:21","call in function: start@44-115","callee=time","basic block: 44:33-48:31"
"Path: /home/sixsquare/codeQL/projects/trojan/src/session/udpforwardsession.cpp","call function: 220:165-220:168","call in function: destroy@215-241","callee=time","basic block: 219:5-223:39"
