"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 139:3-139:9","call in function: usage@138-157","callee=fprintf","basic block: 138:50-138:9"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 104:3-104:9","call in function: PrintModulationChart@102-119","callee=fprintf","basic block: 102:74-0:0"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 112:7-112:13","call in function: PrintModulationChart@102-119","callee=fprintf","basic block: 112:7-111:63"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 116:5-116:11","call in function: PrintModulationChart@102-119","callee=fprintf","basic block: 116:5-115:56"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 118:3-118:9","call in function: PrintModulationChart@102-119","callee=fprintf","basic block: 118:3-102:25"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 98:3-98:9","call in function: PrintLocalTime@93-99","callee=fprintf","basic block: 93:31-93:19"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 74:5-74:11","call in function: StartCarrier@70-77","callee=fprintf","basic block: 73:16-74:11"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 208:5-208:11","call in function: main@161-255","callee=fprintf","basic block: 207:30-255:1"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 226:17-226:23","call in function: main@161-255","callee=fprintf","basic block: 226:17-226:23"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 239:20-239:26","call in function: main@161-255","callee=fprintf","basic block: 239:20-239:26"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/txtempus.cc","call function: 251:18-251:24","call in function: main@161-255","callee=fprintf","basic block: 251:18-251:24"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/rpi-control.cc","call function: 302:5-302:11","call in function: mmap_bcm_register@267-307","callee=fprintf","basic block: 300:29-304:18"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/rpi-control.cc","call function: 218:5-218:11","call in function: DetermineRaspberryModel@215-260","callee=fprintf","basic block: 217:70-219:21"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/rpi-control.cc","call function: 224:5-224:11","call in function: DetermineRaspberryModel@215-260","callee=fprintf","basic block: 223:76-225:21"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/rpi-control.cc","call function: 229:5-229:11","call in function: DetermineRaspberryModel@215-260","callee=fprintf","basic block: 228:70-230:21"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/rpi-control.cc","call function: 252:7-252:13","call in function: DetermineRaspberryModel@215-260","callee=fprintf","basic block: 250:5-255:23"
"Path: /home/sixsquare/codeQL/projects/txtempus/src/rpi-control.cc","call function: 312:5-312:11","call in function: Init@309-320","callee=fprintf","basic block: 311:30-313:16"
