"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame.cpp","call function: 223:7-223:13","call in function: pop@154-258","callee=fprintf","basic block: 222:4-229:63"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame.cpp","call function: 225:7-225:13","call in function: pop@154-258","callee=fprintf","basic block: 222:4-229:63"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 298:10-298:16","call in function: print_description@286-308","callee=fprintf","basic block: 297:7-298:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 303:10-303:16","call in function: print_description@286-308","callee=fprintf","basic block: 301:7-305:20"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1280:4-1280:10","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1276:1-0:0"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1308:16-1308:22","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1307:13-1310:22"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1310:16-1310:22","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1307:13-1310:22"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1312:13-1312:19","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1312:13-1317:27"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1319:16-1319:22","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1318:13-1319:22"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1330:10-1330:16","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1330:10-1332:40"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1334:13-1334:19","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1333:10-1334:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1338:13-1338:19","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1337:10-1338:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1344:13-1344:19","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1342:10-1346:49"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1348:16-1348:22","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1348:16-1346:62"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1351:10-1351:14","call in function: save_option_file@1275-1364","callee=fputs","basic block: 1351:10-1352:7"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1357:7-1357:13","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1356:4-1357:13"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1362:4-1362:10","call in function: save_option_file@1275-1364","callee=fprintf","basic block: 1359:4-1275:21"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1240:13-1240:19","call in function: load_option_file@1193-1255","callee=fprintf","basic block: 1237:10-1241:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 1251:7-1251:13","call in function: load_option_file@1193-1255","callee=fprintf","basic block: 1250:4-1252:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 508:4-508:11","call in function: operator()@503-510","callee=vfprintf","basic block: 504:1-503:30"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 497:4-497:10","call in function: ~OptionWarning@495-499","callee=fprintf","basic block: 496:1-495:29"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 489:4-489:10","call in function: OptionWarning@485-491","callee=fprintf","basic block: 486:1-485:28"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 475:7-475:13","call in function: OptionWarning@469-481","callee=fprintf","basic block: 474:4-475:13"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/option.cpp","call function: 479:7-479:13","call in function: OptionWarning@469-481","callee=fprintf","basic block: 478:4-479:13"
"Path: /home/sixsquare/codeQL/projects/uncrustify/build/src/option_enum.cpp","call function: 469:7-469:13","call in function: to_string@434-474","callee=fprintf","basic block: 468:4-472:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/build/src/option_enum.cpp","call function: 425:7-425:13","call in function: to_string@408-430","callee=fprintf","basic block: 424:4-428:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/build/src/option_enum.cpp","call function: 399:7-399:13","call in function: to_string@382-404","callee=fprintf","basic block: 398:4-402:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/build/src/option_enum.cpp","call function: 373:7-373:13","call in function: to_string@362-378","callee=fprintf","basic block: 372:4-376:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/build/src/option_enum.cpp","call function: 353:7-353:13","call in function: to_string@327-358","callee=fprintf","basic block: 352:4-356:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/align/tools.cpp","call function: 98:16-98:22","call in function: scan_ib_line@31-152","callee=fprintf","basic block: 97:13-104:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/align/tools.cpp","call function: 100:16-100:22","call in function: scan_ib_line@31-152","callee=fprintf","basic block: 97:13-104:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/align/tools.cpp","call function: 102:16-102:22","call in function: scan_ib_line@31-152","callee=fprintf","basic block: 97:13-104:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/align/func_params.cpp","call function: 131:16-131:22","call in function: align_func_param@22-179","callee=fprintf","basic block: 130:13-136:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/align/func_params.cpp","call function: 133:16-133:22","call in function: align_func_param@22-179","callee=fprintf","basic block: 130:13-136:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/backup.cpp","call function: 148:4-148:11","call in function: backup_create_md5_file@120-164","callee=snprintf","basic block: 145:4-152:25"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/backup.cpp","call function: 154:7-154:13","call in function: backup_create_md5_file@120-164","callee=fprintf","basic block: 153:4-162:12"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/backup.cpp","call function: 47:4-47:11","call in function: backup_copy_file@37-117","callee=snprintf","basic block: 38:1-59:25"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/backup.cpp","call function: 55:4-55:11","call in function: backup_copy_file@37-117","callee=snprintf","basic block: 38:1-59:25"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/backup.cpp","call function: 90:4-90:11","call in function: backup_copy_file@37-117","callee=snprintf","basic block: 87:76-94:25"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/backup.cpp","call function: 96:25-96:30","call in function: backup_copy_file@37-117","callee=fwrite","basic block: 95:4-101:23"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/calculate_closing_brace_position.cpp","call function: 127:13-127:19","call in function: calculate_closing_brace_position@15-197","callee=fprintf","basic block: 126:91-129:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/calculate_closing_brace_position.cpp","call function: 128:13-128:19","call in function: calculate_closing_brace_position@15-197","callee=fprintf","basic block: 126:91-129:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/calculate_closing_brace_position.cpp","call function: 140:7-140:13","call in function: calculate_closing_brace_position@15-197","callee=fprintf","basic block: 139:89-142:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/calculate_closing_brace_position.cpp","call function: 141:7-141:13","call in function: calculate_closing_brace_position@15-197","callee=fprintf","basic block: 139:89-142:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/braces.cpp","call function: 1354:10-1354:16","call in function: mod_case_brace_remove@1301-1377","callee=fprintf","basic block: 1353:7-1357:13"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/braces.cpp","call function: 1363:10-1363:16","call in function: mod_case_brace_remove@1301-1377","callee=fprintf","basic block: 1362:7-1366:13"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/braces.cpp","call function: 582:16-582:22","call in function: examine_brace@512-758","callee=fprintf","basic block: 581:13-585:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/braces.cpp","call function: 416:16-416:22","call in function: can_remove_braces@348-509","callee=fprintf","basic block: 415:13-419:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/indent.cpp","call function: 1241:28-1241:34","call in function: indent_text@583-4333","callee=fprintf","basic block: 1240:25-1244:31"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/indent.cpp","call function: 1403:19-1403:25","call in function: indent_text@583-4333","callee=fprintf","basic block: 1402:16-1406:22"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/indent.cpp","call function: 2695:19-2695:25","call in function: indent_text@583-4333","callee=fprintf","basic block: 2694:16-2698:22"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/indent.cpp","call function: 3724:28-3724:34","call in function: indent_text@583-4333","callee=fprintf","basic block: 3723:25-3727:31"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 204:7-204:13","call in function: log_fmt@182-263","callee=fprintf","basic block: 203:4-208:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 205:7-205:13","call in function: log_fmt@182-263","callee=fprintf","basic block: 203:4-208:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 206:7-206:13","call in function: log_fmt@182-263","callee=fprintf","basic block: 203:4-208:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 207:7-207:13","call in function: log_fmt@182-263","callee=fprintf","basic block: 203:4-208:10"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 228:44-228:52","call in function: log_fmt@182-263","callee=vsnprintf","basic block: 215:4-231:18"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 246:16-246:22","call in function: log_fmt@182-263","callee=fprintf","basic block: 245:13-250:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 247:16-247:22","call in function: log_fmt@182-263","callee=fprintf","basic block: 245:13-250:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 248:16-248:22","call in function: log_fmt@182-263","callee=fprintf","basic block: 245:13-250:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 249:16-249:22","call in function: log_fmt@182-263","callee=fprintf","basic block: 245:13-250:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 162:43-162:50","call in function: log_start@146-167","callee=snprintf","basic block: 161:4-162:99"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/logger.cpp","call function: 135:26-135:31","call in function: log_flush@125-143","callee=fwrite","basic block: 135:7-137:24"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/language_names.cpp","call function: 175:16-175:22","call in function: print_extensions@163-187","callee=fprintf","basic block: 174:13-176:29"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/language_names.cpp","call function: 178:13-178:19","call in function: print_extensions@163-187","callee=fprintf","basic block: 178:13-178:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/language_names.cpp","call function: 184:10-184:16","call in function: print_extensions@163-187","callee=fprintf","basic block: 183:7-184:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/keywords.cpp","call function: 294:10-294:16","call in function: print_custom_keywords@286-326","callee=fprintf","basic block: 293:7-294:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/keywords.cpp","call function: 300:10-300:16","call in function: print_custom_keywords@286-326","callee=fprintf","basic block: 299:7-300:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/keywords.cpp","call function: 306:10-306:16","call in function: print_custom_keywords@286-326","callee=fprintf","basic block: 305:7-306:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/keywords.cpp","call function: 312:10-312:16","call in function: print_custom_keywords@286-326","callee=fprintf","basic block: 311:7-312:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/keywords.cpp","call function: 320:10-320:16","call in function: print_custom_keywords@286-326","callee=fprintf","basic block: 317:7-320:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/keywords.cpp","call function: 122:10-122:16","call in function: keywords_are_sorted@114-132","callee=fprintf","basic block: 121:7-127:13"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame_stack.cpp","call function: 209:13-209:19","call in function: check@161-383","callee=fprintf","basic block: 208:10-212:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame_stack.cpp","call function: 286:13-286:19","call in function: check@161-383","callee=fprintf","basic block: 284:10-289:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame_stack.cpp","call function: 295:13-295:19","call in function: check@161-383","callee=fprintf","basic block: 294:10-298:16"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame_stack.cpp","call function: 327:16-327:22","call in function: check@161-383","callee=fprintf","basic block: 326:13-330:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/parsing_frame_stack.cpp","call function: 328:16-328:22","call in function: check@161-383","callee=fprintf","basic block: 326:13-330:19"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/pcf_flags.cpp","call function: 71:4-71:11","call in function: pcf_flags_str@66-95","callee=snprintf","basic block: 67:1-77:20"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/space.cpp","call function: 3383:10-3383:17","call in function: do_space@64-3476","callee=snprintf","basic block: 3381:7-3385:27"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/space.cpp","call function: 3401:10-3401:17","call in function: do_space@64-3476","callee=snprintf","basic block: 3399:7-3403:24"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/tokenizer/check_template.cpp","call function: 144:19-144:25","call in function: check_template@76-409","callee=fprintf","basic block: 143:16-147:22"
"Path: /home/sixsquare/codeQL/projects/uncrustify/src/tokenizer/check_template.cpp","call function: 368:16-368:22","call in function: check_template@76-409","callee=fprintf","basic block: 367:13-371:19"
