"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2075:35-2075:39","call in function: Close@2075-2075","callee=close","basic block: 2075:26-2075:16"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2073:27-2073:31","call in function: Write@2072-2074","callee=write","basic block: 2072:63-2072:16"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2070:27-2070:30","call in function: Read@2069-2071","callee=read","basic block: 2069:56-2069:15"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2063:10-2063:16","call in function: FReopen@2062-2064","callee=freopen","basic block: 2062:72-2062:20"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2058:10-2058:14","call in function: FOpen@2050-2060","callee=fopen","basic block: 2050:56-2050:18"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2048:44-2048:48","call in function: ChDir@2048-2048","callee=chdir","basic block: 2048:35-2048:16"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2022:44-2022:48","call in function: RmDir@2022-2022","callee=rmdir","basic block: 2022:35-2022:16"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2017:61-2017:64","call in function: Stat@2017-2017","callee=stat","basic block: 2017:52-2017:15"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-internal-inl.h","call function: 1106:7-1106:11","call in function: CloseConnection@1102-1108","callee=close","basic block: 1106:7-1102:24"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-internal-inl.h","call function: 1091:11-1091:15","call in function: Send@1086-1095","callee=write","basic block: 1090:7-1091:75"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1219:35-1219:39","call in function: ExecDeathTestChildMain@1217-1242","callee=close","basic block: 1219:3-1219:56"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1227:7-1227:11","call in function: ExecDeathTestChildMain@1217-1242","callee=chdir","basic block: 1224:3-1227:30"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1238:3-1238:7","call in function: ExecDeathTestChildMain@1217-1242","callee=execv","basic block: 1238:3-1239:16"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1426:35-1426:39","call in function: AssumeRole@1387-1431","callee=close","basic block: 1426:3-1426:52"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1129:37-1129:41","call in function: AssumeRole@1105-1146","callee=close","basic block: 1129:5-1129:54"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1141:37-1141:41","call in function: AssumeRole@1105-1146","callee=close","basic block: 1141:5-1141:54"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1122:7-1122:11","call in function: GetCapturedString@1117-1134","callee=close","basic block: 1118:31-1123:25"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1115:23-1115:28","call in function: ~CapturedStream@1115-1115","callee=remove","basic block: 1115:21-1115:17"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1102:29-1102:37","call in function: CapturedStream@1037-1113","callee=mkstemp","basic block: 1037:70-1103:25"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1112:5-1112:9","call in function: CapturedStream@1037-1113","callee=close","basic block: 1108:5-1037:25"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 99:22-99:38","call in function: ReadProcFileField@97-106","callee=std::basic_ifstream::basic_ifstream","basic block: 97:61-102:3"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest.cc","call function: 5031:20-5031:25","call in function: ~ScopedPrematureExitFile@5028-5039","callee=remove","basic block: 5030:44-5032:16"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest.cc","call function: 4926:9-4926:13","call in function: MakeConnection@4899-4938","callee=close","basic block: 4925:76-4927:20"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-filepath.cc","call function: 330:16-330:20","call in function: CreateFolder@318-337","callee=mkdir","basic block: 318:37-333:18"
"Path: /home/sixsquare/codeQL/projects/units/build/_deps/googletest-src/googletest/src/gtest-filepath.cc","call function: 108:18-108:23","call in function: GetCurrentDir@96-117","callee=getcwd","basic block: 96:36-115:35"
