"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/third_party/googletest/src/googletest/include/gtest/internal/gtest-port.h","call function: 2043:10-2043:16","call in function: FReopen@2042-2044","callee=freopen","basic block: 2042:72-2042:20"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/third_party/googletest/src/googletest/include/gtest/internal/gtest-port.h","call function: 2038:10-2038:14","call in function: FOpen@2030-2040","callee=fopen","basic block: 2030:56-2030:18"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/wrappers.h","call function: 31:10-31:14","call in function: Fopen@27-33","callee=fopen","basic block: 27:60-27:18"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/samples/shell.cc","call function: 214:16-214:20","call in function: ReadFile@213-235","callee=fopen","basic block: 213:77-215:18"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-posix.cc","call function: 650:10-650:16","call in function: CreateSharedMemoryHandleForTesting@638-659","callee=mkstemp","basic block: 648:17-651:16"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-posix.cc","call function: 896:10-896:16","call in function: OpenTemporaryFile@895-897","callee=tmpfile","basic block: 895:31-895:27"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-posix.cc","call function: 870:16-870:20","call in function: FOpen@869-881","callee=fopen","basic block: 869:53-871:21"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-posix.cc","call function: 778:20-778:24","call in function: create@776-791","callee=fopen","basic block: 777:80-778:36"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-posix.cc","call function: 751:22-751:26","call in function: open@745-773","callee=fopen","basic block: 750:63-751:44"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-linux.cc","call function: 177:17-177:21","call in function: ParseProcSelfMaps@172-224","callee=fopen","basic block: 177:12-177:45"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-linux.cc","call function: 308:12-308:15","call in function: RemapPages@280-348","callee=open","basic block: 308:3-309:14"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-linux.cc","call function: 97:14-97:18","call in function: GetFreeMemoryRangesWithin@89-138","callee=fopen","basic block: 91:23-98:19"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/base/platform/platform-linux.cc","call function: 64:13-64:17","call in function: SignalCodeMovingGC@54-74","callee=fopen","basic block: 54:31-65:18"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/diagnostics/perf-jit.cc","call function: 143:12-143:15","call in function: OpenJitDumpFile@134-159","callee=open","basic block: 143:3-144:14"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/src/execution/isolate.cc","call function: 4746:17-4746:26","call in function: DumpAndResetStats@4689-4763","callee=fopen","basic block: 4745:42-4747:22"
"Path: /home/sixsquare/codeQL/projects/v8-cmake/v8/third_party/zlib/gzlib.c","call function: 238:9-238:12","call in function: gz_open@88-260","callee=open","basic block: 238:28-238:12"
