"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 529:4-529:13","call in function: encode_ise@493-648","callee=write","basic block: 514:3-513:52"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 534:4-534:13","call in function: encode_ise@493-648","callee=write","basic block: 514:3-513:52"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 539:4-539:13","call in function: encode_ise@493-648","callee=write","basic block: 514:3-513:52"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 544:4-544:13","call in function: encode_ise@493-648","callee=write","basic block: 514:3-513:52"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 549:4-549:13","call in function: encode_ise@493-648","callee=write","basic block: 514:3-513:52"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 575:5-575:14","call in function: encode_ise@493-648","callee=write","basic block: 567:4-566:57"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 600:4-600:13","call in function: encode_ise@493-648","callee=write","basic block: 587:3-586:53"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 605:4-605:13","call in function: encode_ise@493-648","callee=write","basic block: 587:3-586:53"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 610:4-610:13","call in function: encode_ise@493-648","callee=write","basic block: 587:3-586:53"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 634:5-634:14","call in function: encode_ise@493-648","callee=write","basic block: 626:4-625:57"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_integer_sequence.cpp","call function: 644:4-644:13","call in function: encode_ise@493-648","callee=write","basic block: 643:3-642:51"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 200:2-200:11","call in function: symbolic_to_physical@102-286","callee=write","basic block: 200:2-206:24"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 201:2-201:11","call in function: symbolic_to_physical@102-286","callee=write","basic block: 200:2-206:24"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 208:3-208:12","call in function: symbolic_to_physical@102-286","callee=write","basic block: 207:2-211:31"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 209:3-209:12","call in function: symbolic_to_physical@102-286","callee=write","basic block: 207:2-211:31"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 213:4-213:13","call in function: symbolic_to_physical@102-286","callee=write","basic block: 212:3-213:13"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 252:4-252:13","call in function: symbolic_to_physical@102-286","callee=write","basic block: 248:4-254:50"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 253:4-253:13","call in function: symbolic_to_physical@102-286","callee=write","basic block: 248:4-254:50"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 259:3-259:12","call in function: symbolic_to_physical@102-286","callee=write","basic block: 258:2-259:12"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/astc-encoder/source/astcenc_symbolic_physical.cpp","call function: 265:3-265:12","call in function: symbolic_to_physical@102-286","callee=write","basic block: 264:2-265:12"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 653:5-653:17","call in function: etc1_pkm_format_header@649-658","callee=write","basic block: 649:88-649:27"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 654:5-654:17","call in function: etc1_pkm_format_header@649-658","callee=write","basic block: 649:88-649:27"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 655:5-655:17","call in function: etc1_pkm_format_header@649-658","callee=write","basic block: 649:88-649:27"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 656:5-656:17","call in function: etc1_pkm_format_header@649-658","callee=write","basic block: 649:88-649:27"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 657:5-657:17","call in function: etc1_pkm_format_header@649-658","callee=write","basic block: 649:88-649:27"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 505:5-505:18","call in function: etc1_encode_block@492-507","callee=write","basic block: 493:26-492:22"
"Path: /home/sixsquare/codeQL/projects/visage/build/_deps/bgfx-src/bimg/3rdparty/etc1/etc1.cpp","call function: 506:5-506:18","call in function: etc1_encode_block@492-507","callee=write","basic block: 493:26-492:22"
