"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedamrex-src/Src/Base/AMReX_BLBackTrace.cpp","call function: 189:17-189:27","call in function: command_exists@185-193","callee=system","basic block: 186:5-185:23"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedamrex-src/Src/Base/AMReX_BLBackTrace.cpp","call function: 164:25-164:29","call in function: run_command@161-172","callee=popen","basic block: 162:5-164:47"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedamrex-src/Src/Base/AMReX_BLBackTrace.cpp","call function: 169:13-169:18","call in function: run_command@161-172","callee=pclose","basic block: 169:13-169:18"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedamrex-src/Src/Base/AMReX_FileSystem.cpp","call function: 204:18-204:28","call in function: RemoveAll@196-210","callee=system","basic block: 202:5-205:20"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedopenpmd-src/src/auxiliary/Filesystem.cpp","call function: 89:9-89:79","call in function: list_directory@69-97","callee=std::system","basic block: 89:9-97:1"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedopenpmd-src/src/auxiliary/Filesystem.cpp","call function: 89:56-89:75","call in function: list_directory@69-97","callee=std::system","basic block: 89:9-97:1"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 454:12-454:47","call in function: operator time_t@452-456","callee=std::system","basic block: 453:1-452:51"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 428:15-428:52","call in function: operator std::chrono::_V2::system_clock::time_point@408-450","callee=std::system","basic block: 409:1-408:77"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 389:24-389:59","call in function: offset_datetime@386-393","callee=std::system","basic block: 388:1-386:46"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 334:12-334:47","call in function: operator time_t@332-336","callee=std::system","basic block: 333:1-332:50"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 324:15-324:52","call in function: operator std::chrono::_V2::system_clock::time_point@300-330","callee=std::system","basic block: 301:1-300:76"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 278:20-278:55","call in function: local_datetime@276-294","callee=std::system","basic block: 277:1-276:44"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 287:9-287:46","call in function: local_datetime@276-294","callee=std::system","basic block: 277:1-276:44"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 102:12-102:47","call in function: operator time_t@100-104","callee=std::system","basic block: 101:1-100:46"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 97:12-97:49","call in function: operator std::chrono::_V2::system_clock::time_point@84-98","callee=std::system","basic block: 85:1-84:72"
"Path: /home/sixsquare/codeQL/projects/warpx/build/_deps/fetchedtoml11-src/include/toml11/impl/datetime_impl.hpp","call function: 75:23-75:58","call in function: local_date@73-78","callee=std::system","basic block: 74:1-73:36"
