"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/io/zero_copy_stream_impl.cc","call function: 76:14-76:18","call in function: close_no_eintr@73-79","callee=close","basic block: 75:6-77:21"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/io/zero_copy_stream_impl.cc","call function: 224:15-224:19","call in function: Write@214-247","callee=write","basic block: 223:8-225:22"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/io/zero_copy_stream_impl.cc","call function: 156:33-156:37","call in function: Skip@153-169","callee=lseek","basic block: 156:39-156:74"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/io/zero_copy_stream_impl.cc","call function: 142:14-142:17","call in function: Read@137-151","callee=read","basic block: 141:6-143:21"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 101:58-101:65","call in function: doOCR@92-176","callee=std::filesystem::path","basic block: 100:5-103:10"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 101:14-101:46","call in function: doOCR@92-176","callee=std::filesystem::weakly_canonical","basic block: 100:5-103:10"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 101:48-101:55","call in function: doOCR@92-176","callee=std::filesystem::path","basic block: 101:14-101:55"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 101:48-101:55","call in function: doOCR@92-176","callee=std::filesystem::path","basic block: 100:5-103:10"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 101:14-101:56","call in function: doOCR@92-176","callee=std::filesystem::path","basic block: 101:14-101:55"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 47:16-47:34","call in function: CWeChatOCR@38-89","callee=std::filesystem::is_regular_file","basic block: 39:1-48:12"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 47:36-47:38","call in function: CWeChatOCR@38-89","callee=std::filesystem::path","basic block: 47:36-47:38"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 47:36-47:38","call in function: CWeChatOCR@38-89","callee=std::filesystem::path","basic block: 39:1-48:12"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 48:18-48:33","call in function: CWeChatOCR@38-89","callee=std::filesystem::is_directory","basic block: 48:35-48:40"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 48:35-48:39","call in function: CWeChatOCR@38-89","callee=std::filesystem::path","basic block: 48:35-48:40"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/src/wechatocr.cpp","call function: 48:35-48:39","call in function: CWeChatOCR@38-89","callee=std::filesystem::path","basic block: 48:35-48:39"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/compiler/importer.cc","call function: 496:11-496:14","call in function: OpenDiskFile@491-520","callee=stat","basic block: 495:6-497:19"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/compiler/importer.cc","call function: 511:23-511:26","call in function: OpenDiskFile@491-520","callee=open","basic block: 510:6-512:30"
"Path: /home/sixsquare/codeQL/projects/wechat-ocr/build/_deps/protobuf-src/src/google/protobuf/compiler/importer.cc","call function: 420:11-420:16","call in function: DiskFileToVirtualFile@395-437","callee=access","basic block: 419:68-420:57"
