"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/filesys.cc","call function: 40:11-40:21","call in function: RecursiveDelete@29-60","callee=remove","basic block: 39:12-40:50"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/filesys.cc","call function: 49:31-49:35","call in function: RecursiveDelete@29-60","callee=rmdir","basic block: 49:3-51:19"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 201:10-201:16","call in function: Open@148-213","callee=fopen","basic block: 201:5-205:3"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 102:14-102:20","call in function: ListDirectory@100-146","callee=opendir","basic block: 100:87-103:17"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 102:14-102:20","call in function: ListDirectory@100-146","callee=open","basic block: 100:87-103:17"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 111:17-111:23","call in function: ListDirectory@100-146","callee=read","basic block: 111:25-111:37"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 111:17-111:23","call in function: ListDirectory@100-146","callee=readdir","basic block: 111:25-111:37"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 121:3-121:10","call in function: ListDirectory@100-146","callee=close","basic block: 121:3-100:35"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 121:3-121:10","call in function: ListDirectory@100-146","callee=closedir","basic block: 121:3-100:35"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 74:7-74:10","call in function: GetPathInfo@70-98","callee=stat","basic block: 70:56-74:40"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/local_filesys.cc","call function: 79:9-79:13","call in function: GetPathInfo@70-98","callee=lstat","basic block: 74:43-79:42"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/single_file_split.h","call function: 63:5-63:9","call in function: GetTotalSize@61-65","callee=fstat","basic block: 61:37-61:29"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/src/io/single_file_split.h","call function: 44:13-44:19","call in function: SingleFileSplit@34-51","callee=fopen","basic block: 42:22-48:24"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/include/dmlc/filesystem.h","call function: 144:14-144:18","call in function: IsSymlink@136-148","callee=lstat","basic block: 136:50-144:41"
"Path: /home/sixsquare/codeQL/projects/xgboost/dmlc-core/include/dmlc/filesystem.h","call function: 108:20-108:26","call in function: TemporaryDirectory@61-118","callee=mkdtemp","basic block: 105:5-109:15"
"Path: /home/sixsquare/codeQL/projects/xgboost/include/xgboost/collective/socket.h","call function: 118:10-118:14","call in function: CloseSocket@114-120","callee=close","basic block: 114:45-114:31"
"Path: /home/sixsquare/codeQL/projects/xgboost/src/collective/result.cc","call function: 68:45-68:52","call in function: MakeMsg@65-73","callee=std::filesystem::path","basic block: 67:27-71:3"
"Path: /home/sixsquare/codeQL/projects/xgboost/src/collective/result.cc","call function: 68:17-68:43","call in function: MakeMsg@65-73","callee=std::filesystem::path","basic block: 68:17-68:43"
