"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/yapb/ext/crlib/crlib/platform.h","call function: 413:7-413:13","call in function: abort@412-429","callee=fprintf","basic block: 412:61-427:13"
"Path: /home/sixsquare/codeQL/projects/yapb/ext/crlib/crlib/platform.h","call function: 329:7-329:14","call in function: setAppName@328-330","callee=snprintf","basic block: 328:39-328:18"
"Path: /home/sixsquare/codeQL/projects/yapb/ext/crlib/crlib/files.h","call function: 100:11-100:15","call in function: puts@96-104","callee=fputs","basic block: 100:7-100:37"
"Path: /home/sixsquare/codeQL/projects/yapb/ext/crlib/crlib/files.h","call function: 93:14-93:18","call in function: puts@89-94","callee=fputs","basic block: 93:7-93:18"
"Path: /home/sixsquare/codeQL/projects/yapb/ext/crlib/crlib/string.h","call function: 43:14-43:21","call in function: exec@39-44","callee=snprintf","basic block: 43:7-39:40"
"Path: /home/sixsquare/codeQL/projects/yapb/ext/crlib/crlib/memory.h","call function: 42:10-42:17","call in function: get@30-47","callee=snprintf","basic block: 40:20-44:19"
"Path: /home/sixsquare/codeQL/projects/yapb/src/linkage.cpp","call function: 69:4-69:12","call in function: handler_engClientCommand@37-73","callee=vsnprintf","basic block: 65:4-73:1"
"Path: /home/sixsquare/codeQL/projects/yapb/src/navigate.cpp","call function: 3483:10-3483:16","call in function: syncFindPath@3466-3576","callee=fprintf","basic block: 3482:37-3576:1"
"Path: /home/sixsquare/codeQL/projects/yapb/src/navigate.cpp","call function: 3494:13-3494:19","call in function: syncFindPath@3466-3576","callee=fprintf","basic block: 3493:41-3576:1"
"Path: /home/sixsquare/codeQL/projects/yapb/src/navigate.cpp","call function: 3502:7-3502:13","call in function: syncFindPath@3466-3576","callee=fprintf","basic block: 3501:31-3576:1"
"Path: /home/sixsquare/codeQL/projects/yapb/src/navigate.cpp","call function: 3564:7-3564:13","call in function: syncFindPath@3466-3576","callee=fprintf","basic block: 3560:4-3565:12"
"Path: /home/sixsquare/codeQL/projects/yapb/src/navigate.cpp","call function: 3572:10-3572:16","call in function: syncFindPath@3466-3576","callee=fprintf","basic block: 3571:21-3572:16"
