"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/benchmark/agbenchmark/challenges/builtin.py","call function: 332:30-337:21","call in function: get_outputs_for_eval@304-344","callee=subprocess.run","basic block: 332:30-338:47"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/benchmark/agbenchmark/challenges/builtin.py","call function: 347:26-352:17","call in function: get_outputs_for_eval@304-344","callee=subprocess.run","basic block: 347:26-356:43"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/cli.py","call function: 50:13-50:65","call in function: setup@22-73","callee=subprocess.check_call","basic block: 50:36-50:65"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/cli.py","call function: 150:29-150:72","call in function: start@128-177","callee=subprocess.Popen","basic block: 149:13-152:24"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/cli.py","call function: 160:9-160:50","call in function: start@128-177","callee=subprocess.Popen","basic block: 160:9-163:76"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/cli.py","call function: 188:16-188:69","call in function: stop@181-205","callee=subprocess.check_output","basic block: 188:41-188:69"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/cli.py","call function: 198:20-198:73","call in function: stop@181-205","callee=subprocess.check_output","basic block: 198:45-198:73"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/cli.py","call function: 262:9-262:77","call in function: start@247-275","callee=subprocess.Popen","basic block: 261:9-268:9"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/components/code_executor/code_executor.py","call function: 209:26-215:17","call in function: execute_python_file@179-222","callee=subprocess.run","basic block: 204:13-216:41"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/components/code_executor/code_executor.py","call function: 241:24-241:48","call in function: validate_command@224-248","callee=shlex.split","basic block: 241:24-243:59"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/components/code_executor/code_executor.py","call function: 284:18-288:9","call in function: execute_shell@261-294","callee=subprocess.run","basic block: 285:13-294:21"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/components/code_executor/code_executor.py","call function: 285:46-285:70","call in function: execute_shell@261-294","callee=shlex.split","basic block: 285:46-285:70"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/components/code_executor/code_executor.py","call function: 332:19-337:9","call in function: execute_shell_popen@307-342","callee=subprocess.Popen","basic block: 333:13-342:66"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/components/code_executor/code_executor.py","call function: 333:46-333:70","call in function: execute_shell_popen@307-342","callee=shlex.split","basic block: 333:46-333:70"
"path: /home/sixsquare/codeQL/projects/AutoGPT/autogpt_platform/backend/linter.py","call function: 15:9-21:9","call in function: run@12-24","callee=subprocess.run","basic block: 20:13-21:9"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/speech/macos_tts.py","call function: 18:13-18:54","call in function: _speech@15-23","callee=subprocess.run","basic block: 18:13-18:54"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/speech/macos_tts.py","call function: 20:13-20:77","call in function: _speech@15-23","callee=subprocess.run","basic block: 20:13-20:77"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/forge/forge/speech/macos_tts.py","call function: 22:13-22:72","call in function: _speech@15-23","callee=subprocess.run","basic block: 22:13-22:72"
"path: /home/sixsquare/codeQL/projects/AutoGPT/autogpt_platform/backend/run_tests.py","call function: 10:22-29:13","call in function: wait_for_postgres@7-37","callee=subprocess.run","basic block: 12:21-29:13"
"path: /home/sixsquare/codeQL/projects/AutoGPT/autogpt_platform/backend/run_tests.py","call function: 42:9-42:44","call in function: run_command@40-45","callee=subprocess.run","basic block: 42:24-42:44"
"path: /home/sixsquare/codeQL/projects/AutoGPT/autogpt_platform/backend/run_tests.py","call function: 110:5-114:5","call in function: test@48-125","callee=subprocess.run","basic block: 91:15-125:31"
"path: /home/sixsquare/codeQL/projects/AutoGPT/autogpt_platform/backend/run_tests.py","call function: 116:5-116:77","call in function: test@48-125","callee=subprocess.run","basic block: 91:15-125:31"
"path: /home/sixsquare/codeQL/projects/AutoGPT/autogpt_platform/backend/run_tests.py","call function: 121:14-121:81","call in function: test@48-125","callee=subprocess.run","basic block: 91:15-125:31"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/original_autogpt/scripts/llamafile/serve.py","call function: 105:13-105:64","call in function: main@44-137","callee=subprocess.run","basic block: 104:13-105:64"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/original_autogpt/scripts/llamafile/serve.py","call function: 115:13-115:76","call in function: main@44-137","callee=subprocess.run","basic block: 113:13-115:76"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/original_autogpt/scripts/llamafile/serve.py","call function: 126:5-137:5","call in function: main@44-137","callee=subprocess.run","basic block: 126:5-137:5"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/benchmark/agbenchmark/challenges/verticals/code/5_tic_tac_toe/custom_python/test.py","call function: 8:15-14:5","call in function: run_game_with_inputs@6-24","callee=subprocess.Popen","basic block: 6:26-24:17"
"path: /home/sixsquare/codeQL/projects/AutoGPT/classic/benchmark/agbenchmark/challenges/verticals/code/3_file_organizer/custom_python/test.py","call function: 25:9-27:9","call in function: test_organize_files@23-33","callee=subprocess.call","basic block: 23:29-30:59"
