"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/api.py","call function: 25:17-25:41","call in function: create_item@22-49","callee=json.dumps","basic block: 22:23-35:70"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/api.py","call function: 46:74-46:87","call in function: create_item@22-49","callee=repr","basic block: 37:48-49:17"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/api.py","call function: 47:5-47:14","call in function: create_item@22-49","callee=print","basic block: 37:48-49:17"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo.py","call function: 32:5-32:65","call in function: main@29-54","callee=print","basic block: 30:15-32:65"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo.py","call function: 40:13-40:73","call in function: main@29-54","callee=print","basic block: 38:23-41:20"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo.py","call function: 51:21-51:60","call in function: main@29-54","callee=print","basic block: 50:21-52:64"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo.py","call function: 54:9-54:48","call in function: main@29-54","callee=print","basic block: 53:9-54:48"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo_vision.py","call function: 36:9-36:21","call in function: main@31-60","callee=print","basic block: 33:5-38:31"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo_vision.py","call function: 52:25-52:72","call in function: main@31-60","callee=print","basic block: 51:25-53:68"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/cli_demo_vision.py","call function: 55:13-55:60","call in function: main@31-60","callee=print","basic block: 54:13-57:39"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 60:5-64:5","call in function: main@49-421","callee=logging.basicConfig","basic block: 60:5-66:31"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 63:19-63:51","call in function: main@49-421","callee=logging.StreamHandler","basic block: 60:5-66:31"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 127:9-127:64","call in function: main@49-421","callee=print","basic block: 127:9-128:13"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 235:9-235:47","call in function: main@49-421","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 235:9-235:47","call in function: print_dataset_example@234-238","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 236:9-236:63","call in function: main@49-421","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 236:9-236:63","call in function: print_dataset_example@234-238","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 237:9-237:45","call in function: main@49-421","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 237:9-237:45","call in function: print_dataset_example@234-238","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 238:9-238:60","call in function: main@49-421","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 238:9-238:60","call in function: print_dataset_example@234-238","callee=print","basic block: 234:31-238:60"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/main.py","call function: 419:31-419:89","call in function: main@49-421","callee=json.dumps","basic block: 418:25-420:48"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/web_demo.py","call function: 140:9-140:84","call in function: main@119-161","callee=print","basic block: 140:9-144:45"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/web_demo.py","call function: 152:9-152:64","call in function: main@119-161","callee=print","basic block: 152:9-153:13"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/trainer.py","call function: 353:17-358:17","call in function: __init__@307-677","callee=warnings.warn","basic block: 353:17-358:17"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/trainer.py","call function: 1085:29-1085:79","call in function: create_optimizer@1039-1093","callee=print","basic block: 1084:29-1087:89"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/trainer.py","call function: 1088:21-1088:62","call in function: create_optimizer@1039-1093","callee=print","basic block: 1088:21-1088:62"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/trainer.py","call function: 1596:13-1600:13","call in function: train@1556-1640","callee=warnings.warn","basic block: 1595:38-1600:13"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/trainer.py","call function: 2831:17-2831:45","call in function: _save@2812-2845","callee=print","basic block: 2831:17-2834:57"
"path: /home/sixsquare/codeQL/projects/ChatGLM-6B/ptuning/trainer.py","call function: 2839:17-2839:47","call in function: _save@2812-2845","callee=print","basic block: 2839:17-2840:77"
