"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/onnx/exporter.py","call function: 330:5-330:41","call in function: export_gpt@40-346","callee=print","basic block: 75:25-331:39"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/onnx/exporter.py","call function: 335:5-335:31","call in function: export_gpt@40-346","callee=print","basic block: 335:5-346:30"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/onnx/exporter.py","call function: 340:5-340:29","call in function: export_gpt@40-346","callee=print","basic block: 335:5-346:30"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/onnx/exporter.py","call function: 344:5-344:33","call in function: export_gpt@40-346","callee=print","basic block: 335:5-346:30"
"path: /home/sixsquare/codeQL/projects/ChatTTS/tools/logger/log.py","call function: 59:14-59:36","call in function: get_logger@58-73","callee=logging.getLogger","basic block: 58:16-61:19"
"path: /home/sixsquare/codeQL/projects/ChatTTS/tools/logger/log.py","call function: 64:18-64:40","call in function: get_logger@58-73","callee=logging.StreamHandler","basic block: 64:18-66:33"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/api/postScript.py","call function: 235:13-235:54","call in function: main@179-238","callee=print","basic block: 235:13-235:54"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/api/postScript.py","call function: 238:9-238:36","call in function: main@179-238","callee=print","basic block: 237:5-238:36"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/cmd/run.py","call function: 82:5-82:14","call in function: main@54-106","callee=print","basic block: 81:5-94:13"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/cmd/stream.py","call function: 20:17-24:17","call in function: _update_stream@15-29","callee=print","basic block: 20:17-24:17"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/cmd/stream.py","call function: 80:13-80:49","call in function: generate@74-145","callee=print","basic block: 79:13-83:33"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/cmd/stream.py","call function: 113:25-113:50","call in function: generate@74-145","callee=print","basic block: 112:25-116:79"
"path: /home/sixsquare/codeQL/projects/ChatTTS/examples/cmd/stream.py","call function: 152:9-152:35","call in function: play@148-182","callee=print","basic block: 148:14-170:70"
