"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalChat/benchmarks/ray/1mmt_dummy.py","call function: 31:9-31:34","call in function: get_local_ip@29-32","callee=socket.socket.connect","basic block: 30:10-32:33"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalEval/colossal_eval/dataset/agieval.py","call function: 121:27-123:5","call in function: combine_prompt@103-177","callee=pandas.read_csv","basic block: 119:20-128:55"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalEval/colossal_eval/dataset/agieval.py","call function: 124:31-126:5","call in function: combine_prompt@103-177","callee=pandas.read_csv","basic block: 119:20-128:55"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/local/colossalcloud_llm.py","call function: 115:20-115:82","call in function: text_completion@104-118","callee=requests.post","basic block: 104:25-118:28"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_release_draft.py","call function: 31:11-31:48","call in function: get_commit_info@29-32","callee=requests.get","basic block: 29:21-32:21"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_release_draft.py","call function: 22:11-22:53","call in function: get_latest_tag_commit@21-26","callee=requests.get","basic block: 21:27-26:31"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_release_draft.py","call function: 41:16-41:53","call in function: get_all_commit_info@35-51","callee=requests.get","basic block: 39:5-45:25"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 82:11-82:44","call in function: get_organization_repositories@69-87","callee=requests.get","basic block: 69:35-85:19"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 111:28-111:69","call in function: get_issue_pull_request_comments@90-138","callee=requests.get","basic block: 109:5-113:37"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 125:34-125:73","call in function: get_issue_pull_request_comments@90-138","callee=requests.get","basic block: 123:28-128:56"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 224:20-224:99","call in function: get_discussion_comments@141-312","callee=requests.post","basic block: 221:27-226:19"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 224:20-224:99","call in function: _call_graphql_api@221-226","callee=requests.post","basic block: 221:27-226:19"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 408:28-408:61","call in function: generate_contributor_leaderboard_image@378-464","callee=requests.get","basic block: 407:13-410:45"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 408:28-408:61","call in function: _iterate_by_page@399-441","callee=requests.get","basic block: 407:13-410:45"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 482:16-482:78","call in function: upload_image_to_lark@467-483","callee=requests.request","basic block: 467:26-483:40"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 496:16-496:44","call in function: generate_lark_tenant_access_token@486-497","callee=requests.post","basic block: 486:39-497:42"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 509:5-509:41","call in function: send_image_to_lark@500-509","callee=requests.post","basic block: 500:24-509:41"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/generate_leaderboard_and_send_to_lark.py","call function: 521:5-521:41","call in function: send_message_to_lark@512-521","callee=requests.post","basic block: 512:26-521:41"
"path: /home/sixsquare/codeQL/projects/ColossalAI/colossalai/cli/launcher/hostinfo.py","call function: 46:22-46:56","call in function: is_host_localhost@23-49","callee=socket.getaddrinfo","basic block: 44:20-49:40"
"path: /home/sixsquare/codeQL/projects/ColossalAI/colossalai/cli/launcher/hostinfo.py","call function: 47:23-47:56","call in function: is_host_localhost@23-49","callee=socket.getaddrinfo","basic block: 44:20-49:40"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalChat/benchmarks/ray/mmmt_dummy.py","call function: 31:9-31:34","call in function: get_local_ip@29-32","callee=socket.socket.connect","basic block: 30:10-32:33"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/local/pangu_llm.py","call function: 107:20-107:79","call in function: get_latest_auth_token@92-108","callee=requests.request","basic block: 92:31-108:50"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/local/pangu_llm.py","call function: 125:9-125:76","call in function: text_completion@110-129","callee=http.client.HTTPSConnection.request","basic block: 110:25-129:19"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/local/pangu_llm.py","call function: 146:9-146:76","call in function: chat_model@131-150","callee=http.client.HTTPSConnection.request","basic block: 131:20-150:19"
"path: /home/sixsquare/codeQL/projects/ColossalAI/.github/workflows/scripts/send_message_to_lark.py","call function: 15:5-15:41","call in function: send_message_to_lark@13-15","callee=requests.post","basic block: 13:26-15:41"
"path: /home/sixsquare/codeQL/projects/ColossalAI/colossalai/legacy/inference/serving/ray_serve/send_request.py","call function: 7:12-7:70","call in function: send_query@6-8","callee=requests.get","basic block: 6:16-8:20"
"path: /home/sixsquare/codeQL/projects/ColossalAI/colossalai/legacy/inference/serving/ray_serve/send_requests.py","call function: 7:12-7:70","call in function: send_query@6-8","callee=requests.get","basic block: 6:16-8:20"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/data_loader/table_dataloader.py","call function: 72:31-72:47","call in function: load_data@51-97","callee=pandas.read_csv","basic block: 72:31-72:27"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/data_loader/table_dataloader.py","call function: 78:31-78:48","call in function: load_data@51-97","callee=pandas.read_json","basic block: 78:31-78:27"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/data_loader/table_dataloader.py","call function: 81:27-81:44","call in function: load_data@51-97","callee=pandas.read_html","basic block: 81:27-83:27"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalChat/examples/community/ray/train_prompts_on_ray.py","call function: 196:19-196:41","call in function: load_csv_prompt_file_from_url_to_sampler@193-197","callee=pandas.read_csv","basic block: 193:50-197:21"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/colossalqa/local/utils.py","call function: 23:16-23:90","call in function: post_http_request@11-24","callee=requests.post","basic block: 12:5-24:19"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalChat/coati/distributed/reward/code_reward/utils.py","call function: 65:16-65:47","call in function: check_correctness_code_api@61-71","callee=requests.post","basic block: 62:5-66:34"
"path: /home/sixsquare/codeQL/projects/ColossalAI/applications/ColossalQA/examples/webui_demo/webui.py","call function: 19:16-19:61","call in function: get_response@17-21","callee=requests.post","basic block: 17:18-21:19"
