"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/latest/_ui.py","call function: 151:22-151:59","call in function: save_images@138-154","callee=os.path.join","basic block: 147:13-153:19"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/latest/_ui.py","call function: 180:21-180:58","call in function: save_animated_png@170-189","callee=os.path.join","basic block: 171:9-189:56"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/latest/_ui.py","call function: 225:13-225:50","call in function: save_animated_webp@207-234","callee=os.path.join","basic block: 208:9-234:56"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/latest/_ui.py","call function: 289:27-289:64","call in function: save_audio@265-369","callee=os.path.join","basic block: 286:13-295:31"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/latest/_ui.py","call function: 363:18-363:40","call in function: save_audio@265-369","callee=open","basic block: 349:24-367:19"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 96:33-96:114","call in function: __init__@95-97","callee=os.path.join","basic block: 95:18-97:288"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 96:46-96:88","call in function: __init__@95-97","callee=os.path.dirname","basic block: 95:18-97:288"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 96:62-96:87","call in function: __init__@95-97","callee=os.path.realpath","basic block: 95:18-97:288"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 109:21-109:129","call in function: __init__@108-110","callee=os.path.join","basic block: 108:18-110:282"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 109:34-109:114","call in function: __init__@108-110","callee=os.path.join","basic block: 108:18-110:282"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 109:47-109:89","call in function: __init__@108-110","callee=os.path.dirname","basic block: 108:18-110:282"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy/text_encoders/ace.py","call function: 109:63-109:88","call in function: __init__@108-110","callee=os.path.realpath","basic block: 108:18-110:282"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api_nodes/apinode_utils.py","call function: 316:10-316:29","call in function: text_filepath_to_base64_string@314-318","callee=open","basic block: 314:36-318:57"
"path: /home/sixsquare/codeQL/projects/ComfyUI/app/app_settings.py","call function: 20:12-20:31","call in function: get_settings@11-28","callee=os.path.isfile","basic block: 13:13-20:31"
"path: /home/sixsquare/codeQL/projects/ComfyUI/app/app_settings.py","call function: 22:22-22:31","call in function: get_settings@11-28","callee=open","basic block: 21:13-22:31"
"path: /home/sixsquare/codeQL/projects/ComfyUI/app/app_settings.py","call function: 33:14-33:28","call in function: save_settings@30-34","callee=open","basic block: 30:23-34:51"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/internal/async_to_sync.py","call function: 792:26-792:53","call in function: generate_stub_file@774-973","callee=os.path.dirname","basic block: 792:42-792:53"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/internal/async_to_sync.py","call function: 793:24-793:60","call in function: generate_stub_file@774-973","callee=os.path.join","basic block: 793:37-793:60"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/internal/async_to_sync.py","call function: 796:13-796:48","call in function: generate_stub_file@774-973","callee=os.makedirs","basic block: 796:25-796:48"
"path: /home/sixsquare/codeQL/projects/ComfyUI/comfy_api/internal/async_to_sync.py","call function: 798:27-798:55","call in function: generate_stub_file@774-973","callee=os.path.basename","basic block: 798:44-798:55"
