"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/__init__.py","call function: 11:17-11:38","call in function: imwrite_unicode@10-18","callee=os.path.splitext","basic block: 10:21-12:14"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/processors/frame/face_enhancer.py","call function: 67:26-67:67","call in function: get_face_enhancer@62-89","callee=os.path.join","basic block: 67:26-72:33"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/gettext.py","call function: 16:18-16:55","call in function: load_language@10-22","callee=open","basic block: 15:13-16:55"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/face_analyser.py","call function: 175:12-175:56","call in function: dump_faces@171-189","callee=os.path.exists","basic block: 174:9-175:56"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/face_analyser.py","call function: 175:62-175:105","call in function: dump_faces@171-189","callee=os.path.isdir","basic block: 175:62-175:105"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/face_analyser.py","call function: 176:13-176:56","call in function: dump_faces@171-189","callee=shutil.rmtree","basic block: 176:13-176:56"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/face_analyser.py","call function: 177:9-177:78","call in function: dump_faces@171-189","callee=pathlib.Path.mkdir","basic block: 177:9-179:85"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/processors/frame/face_swapper.py","call function: 68:26-68:61","call in function: get_face_swapper@60-72","callee=os.path.join","basic block: 68:26-69:24"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/core.py","call function: 188:13-188:82","call in function: start@178-238","callee=shutil.copy2","basic block: 188:13-188:82"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 71:13-71:57","call in function: extract_frames@63-73","callee=os.path.join","basic block: 63:20-73:5"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 84:13-84:57","call in function: create_video@76-96","callee=os.path.join","basic block: 76:18-96:5"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 123:12-123:79","call in function: get_temp_frame_paths@121-123","callee=glob.glob","basic block: 121:26-123:79"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 123:23-123:77","call in function: get_temp_frame_paths@121-123","callee=os.path.join","basic block: 121:26-123:79"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 123:36-123:67","call in function: get_temp_frame_paths@121-123","callee=glob.escape","basic block: 121:26-123:79"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 127:22-127:68","call in function: get_temp_directory_path@126-129","callee=os.path.splitext","basic block: 126:29-129:75"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 127:39-127:67","call in function: get_temp_directory_path@126-129","callee=os.path.basename","basic block: 126:29-129:75"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 128:29-128:56","call in function: get_temp_directory_path@126-129","callee=os.path.dirname","basic block: 126:29-129:75"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 129:12-129:75","call in function: get_temp_directory_path@126-129","callee=os.path.join","basic block: 126:29-129:75"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 134:12-134:55","call in function: get_temp_output_path@132-134","callee=os.path.join","basic block: 132:26-134:55"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 139:26-139:72","call in function: normalize_output_path@137-145","callee=os.path.splitext","basic block: 139:26-141:37"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 139:43-139:71","call in function: normalize_output_path@137-145","callee=os.path.basename","basic block: 139:26-141:37"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 140:41-140:87","call in function: normalize_output_path@137-145","callee=os.path.splitext","basic block: 139:26-141:37"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 140:58-140:86","call in function: normalize_output_path@137-145","callee=os.path.basename","basic block: 139:26-141:37"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 141:12-141:37","call in function: normalize_output_path@137-145","callee=os.path.isdir","basic block: 139:26-141:37"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 142:20-144:13","call in function: normalize_output_path@137-145","callee=os.path.join","basic block: 142:20-144:13"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 150:5-150:64","call in function: create_temp@148-150","callee=pathlib.Path.mkdir","basic block: 148:17-150:64"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 155:8-155:39","call in function: move_temp@153-158","callee=os.path.isfile","basic block: 153:15-155:39"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 156:12-156:38","call in function: move_temp@153-158","callee=os.path.isfile","basic block: 156:12-156:38"
"path: /home/sixsquare/codeQL/projects/Deep-Live-Cam/modules/utilities.py","call function: 157:13-157:34","call in function: move_temp@153-158","callee=os.remove","basic block: 157:13-157:34"
