"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 50:27-50:75","call in function: main@33-85","callee=glob.glob","basic block: 33:10-50:76"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 50:32-50:74","call in function: main@33-85","callee=os.path.join","basic block: 33:10-50:76"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 78:5-78:41","call in function: main@33-85","callee=os.makedirs","basic block: 78:5-80:23"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 81:35-81:89","call in function: main@33-85","callee=os.path.join","basic block: 80:9-81:90"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 83:22-83:64","call in function: main@33-85","callee=glob.glob","basic block: 83:22-83:64"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 83:27-83:63","call in function: main@33-85","callee=os.path.join","basic block: 83:22-83:64"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 84:25-84:76","call in function: main@33-85","callee=os.path.join","basic block: 83:9-85:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 84:49-84:75","call in function: main@33-85","callee=os.path.basename","basic block: 83:9-85:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/convert.py","call function: 85:9-85:49","call in function: main@33-85","callee=shutil.copyfile","basic block: 83:9-85:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 33:5-33:41","call in function: main@12-103","callee=os.makedirs","basic block: 12:10-65:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 34:24-34:77","call in function: main@12-103","callee=os.path.join","basic block: 12:10-65:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 35:10-35:36","call in function: main@12-103","callee=open","basic block: 12:10-65:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 59:25-59:57","call in function: main@12-103","callee=os.path.join","basic block: 59:25-60:35"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 59:25-59:57","call in function: get_tensor@44-61","callee=os.path.join","basic block: 59:25-60:35"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 63:29-63:73","call in function: main@12-103","callee=glob.glob","basic block: 12:10-65:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 63:34-63:72","call in function: main@12-103","callee=os.path.join","basic block: 12:10-65:49"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 66:21-66:53","call in function: main@12-103","callee=os.path.basename","basic block: 65:9-71:61"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 87:31-87:64","call in function: main@12-103","callee=os.path.join","basic block: 87:31-91:32"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 97:28-97:82","call in function: main@12-103","callee=os.path.join","basic block: 97:28-98:39"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/fp8_cast_bf16.py","call function: 102:10-102:40","call in function: main@12-103","callee=open","basic block: 102:10-103:74"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/generate.py","call function: 112:10-112:21","call in function: main@81-158","callee=open","basic block: 107:17-121:18"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/generate.py","call function: 112:10-112:21","call in function: main@81-158","callee=open","basic block: 108:5-121:18"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/generate.py","call function: 119:23-119:88","call in function: main@81-158","callee=os.path.join","basic block: 107:17-121:18"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/generate.py","call function: 119:23-119:88","call in function: main@81-158","callee=os.path.join","basic block: 108:5-121:18"
"path: /home/sixsquare/codeQL/projects/DeepSeek-V3/inference/generate.py","call function: 146:14-146:29","call in function: main@81-158","callee=open","basic block: 146:14-148:50"
