"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/__init__.py","call function: 359:27-359:38","call in function: init_inference@302-377","callee=json.load","basic block: 358:14-359:23"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/csrc/aio/py_test/aio_bench_perf_sweep.py","call function: 108:24-108:36","call in function: get_sweep_config_dict@103-109","callee=json.load","basic block: 107:10-109:23"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/base_optimizer.py","call function: 26:20-26:67","call in function: load_hp_checkpoint_state_from_checkpoint_dir@21-64","callee=torch.load","basic block: 24:9-31:27"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/autotuning/autotuner.py","call function: 184:24-184:115","call in function: _get_user_config@158-186","callee=json.load","basic block: 184:24-184:115"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/compression/compress.py","call function: 24:16-24:97","call in function: check_deepspeed_config@20-27","callee=json.load","basic block: 24:16-24:97"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/common.py","call function: 221:26-221:78","call in function: checkpoint_correctness_verification@166-255","callee=torch.load","basic block: 221:26-223:50"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/ops/transformer/inference/config.py","call function: 133:30-133:45","call in function: from_json_file@130-133","callee=json.loads","basic block: 130:24-133:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/config.py","call function: 643:21-643:104","call in function: load_config@642-643","callee=json.load","basic block: 642:21-643:17"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/checkpoint_engine/decoupled_checkpoint_engine.py","call function: 109:14-109:56","call in function: load@108-110","callee=torch.load","basic block: 108:14-110:17"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 119:14-119:100","call in function: _build_global_state@118-121","callee=torch.load","basic block: 118:29-121:35"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 141:18-141:104","call in function: get_iteration@139-144","callee=torch.load","basic block: 141:18-142:44"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 149:13-149:83","call in function: get_embedding_state@146-153","callee=torch.load","basic block: 150:17-149:83"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 149:13-149:83","call in function: listcomp@148-149","callee=torch.load","basic block: 150:17-149:83"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 161:18-161:104","call in function: _get_checkpoint_value@159-164","callee=torch.load","basic block: 161:18-162:34"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 176:20-176:90","call in function: get_2d_parallel_state@172-185","callee=torch.load","basic block: 176:96-176:90"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 176:20-176:90","call in function: listcomp@176-176","callee=torch.load","basic block: 176:96-176:90"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 192:24-192:94","call in function: listcomp@192-192","callee=torch.load","basic block: 192:100-192:94"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 192:24-192:94","call in function: get_transformer_state@187-195","callee=torch.load","basic block: 192:100-192:94"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/deepspeed_checkpoint.py","call function: 203:14-203:117","call in function: get_final_norm_state@201-204","callee=torch.load","basic block: 202:9-204:17"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 153:18-153:90","call in function: extract_zero_shards_stage3@152-169","callee=torch.load","basic block: 152:32-162:43"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 217:19-217:51","call in function: _merge_zero_shards@198-229","callee=torch.load","basic block: 217:57-217:51"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 217:19-217:51","call in function: listcomp@217-217","callee=torch.load","basic block: 217:57-217:51"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 407:12-407:85","call in function: _parse_model_states_stage3@406-407","callee=torch.load","basic block: 406:32-407:99"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 423:10-423:89","call in function: _save_optimizer_state_stage3@422-428","callee=torch.load","basic block: 422:34-428:49"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 449:18-449:97","call in function: _get_zero_stage@448-452","callee=torch.load","basic block: 448:21-452:21"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 457:14-457:109","call in function: _inject_missing_state@455-461","callee=torch.load","basic block: 457:14-458:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/checkpoint/ds_to_universal.py","call function: 491:21-491:98","call in function: main@469-544","callee=torch.load","basic block: 490:13-492:24"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/engine.py","call function: 432:23-432:87","call in function: _load_checkpoint@413-470","callee=torch.load","basic block: 432:23-437:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/engine.py","call function: 440:27-440:117","call in function: _load_checkpoint@413-470","callee=torch.load","basic block: 440:27-442:60"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/elasticity/elasticity.py","call function: 213:41-213:91","call in function: ensure_immutable_elastic_config@208-230","callee=json.loads","basic block: 213:41-217:113"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/v2/engine_factory.py","call function: 53:16-53:54","call in function: build_engine_from_ds_checkpoint@32-66","callee=json.load","basic block: 32:37-58:48"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/v2/engine_factory.py","call function: 63:20-63:85","call in function: build_engine_from_ds_checkpoint@32-66","callee=pickle.load","basic block: 58:9-66:51"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/checkpoint_engine/fast_checkpoint_engine.py","call function: 43:14-43:56","call in function: load@42-44","callee=torch.load","basic block: 42:14-44:17"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/v2/checkpoint/huggingface_engine.py","call function: 91:25-91:62","call in function: _fetch_checkpoint_files@35-102","callee=json.load","basic block: 91:25-100:32"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/v2/model_implementations/inference_policy_base.py","call function: 208:22-208:64","call in function: populate_model_parameters@189-220","callee=torch.load","basic block: 205:27-213:73"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/inference/v2/model_implementations/inference_policy_base.py","call function: 209:24-209:58","call in function: populate_model_parameters@189-220","callee=json.load","basic block: 205:27-213:73"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/launcher/launch.py","call function: 160:18-160:39","call in function: main@145-371","callee=json.loads","basic block: 159:18-173:28"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/ops/transformer/inference/triton/matmul_ext.py","call function: 110:31-110:49","call in function: load@107-113","callee=pickle.load","basic block: 109:18-111:30"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/modeling.py","call function: 217:31-217:55","call in function: __init__@177-235","callee=json.loads","basic block: 216:18-218:45"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/modeling.py","call function: 249:30-249:45","call in function: from_json_file@245-249","callee=json.loads","basic block: 245:24-249:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/ops/transformer/inference/moe_inference.py","call function: 106:30-106:45","call in function: from_json_file@103-106","callee=json.loads","basic block: 103:24-106:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/modelingpreln.py","call function: 213:31-213:55","call in function: __init__@173-232","callee=json.loads","basic block: 212:18-214:49"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/modelingpreln.py","call function: 247:30-247:45","call in function: from_json_file@243-247","callee=json.loads","basic block: 243:24-247:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/checkpoint_engine/nebula_checkpoint_engine.py","call function: 61:25-61:87","call in function: load@55-98","callee=torch.load","basic block: 59:29-63:28"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/pipe/p2p.py","call function: 136:11-136:54","call in function: recv_obj@119-158","callee=msgpack.unpackb","basic block: 119:14-158:14"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/nvme/perf_run_sweep.py","call function: 131:24-131:36","call in function: get_sweep_config_dict@126-132","callee=json.load","basic block: 130:10-132:23"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/module_inject/replace_module.py","call function: 426:23-426:112","call in function: replace_transformer_layer@189-547","callee=torch.load","basic block: 425:17-434:30"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/module_inject/replace_module.py","call function: 448:24-448:84","call in function: replace_transformer_layer@189-547","callee=torch.load","basic block: 448:90-448:84"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/module_inject/replace_module.py","call function: 448:24-448:84","call in function: listcomp@448-448","callee=torch.load","basic block: 448:90-448:84"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/module_inject/replace_module.py","call function: 468:28-468:88","call in function: replace_transformer_layer@189-547","callee=torch.load","basic block: 466:33-478:32"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/module_inject/replace_module.py","call function: 635:18-635:79","call in function: replace_module@619-654","callee=torch.load","basic block: 635:18-635:14"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/state_dict_factory.py","call function: 27:24-27:35","call in function: get_sd_loader_json@24-38","callee=json.load","basic block: 26:18-27:20"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_convert_checkpoint.py","call function: 54:22-54:68","call in function: test_convert_zero_checkpoint_to_fp32_state_dict@28-60","callee=torch.load","basic block: 28:57-57:81"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/model_parallelism/test_configurable_parallel_mp.py","call function: 173:28-173:68","call in function: test@153-177","callee=torch.load","basic block: 172:29-177:31"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/model_parallelism/test_configurable_parallel_pp.py","call function: 228:28-228:68","call in function: _test@191-231","callee=torch.load","basic block: 225:17-231:31"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/zero/stage3.py","call function: 2879:20-2879:67","call in function: load_hp_checkpoint_state_from_checkpoint_dir_stage3@2872-2924","callee=torch.load","basic block: 2876:9-2884:27"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/zero/stage3.py","call function: 2935:35-2935:99","call in function: load_hp_checkpoint_state@2931-2949","callee=torch.load","basic block: 2931:34-2942:64"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/runtime/test_ds_config_dict.py","call function: 134:19-134:51","call in function: test_temp_config_json@129-135","callee=json.load","basic block: 129:27-135:44"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/inference/test_inference.py","call function: 100:30-100:43","call in function: _hf_model_list@86-138","callee=pickle.load","basic block: 100:42-100:43"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_universal_checkpoint.py","call function: 184:54-184:114","call in function: _run_test@177-215","callee=torch.load","basic block: 183:22-194:21"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_zero_optimizer.py","call function: 267:24-267:96","call in function: test_elastic_checkpoint_fixed_dp@221-275","callee=torch.load","basic block: 256:35-272:46"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_zero_optimizer.py","call function: 526:34-526:85","call in function: test_save_exclude_frozen_weights@501-546","callee=torch.load","basic block: 516:22-528:68"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_zero_optimizer.py","call function: 539:40-539:90","call in function: test_save_exclude_frozen_weights@501-546","callee=torch.load","basic block: 537:9-543:38"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_zero_optimizer.py","call function: 578:48-578:106","call in function: test_save_exclude_custom_frozen_weights@549-587","callee=torch.load","basic block: 564:22-585:68"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_zero_optimizer.py","call function: 621:29-621:73","call in function: test_save_tensor_clone@595-622","callee=torch.load","basic block: 612:24-622:76"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/tests/unit/checkpoint/test_zero_optimizer.py","call function: 622:29-622:75","call in function: test_save_tensor_clone@595-622","callee=torch.load","basic block: 612:24-622:76"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/deepspeed/runtime/checkpoint_engine/torch_checkpoint_engine.py","call function: 37:21-37:83","call in function: load@35-39","callee=torch.load","basic block: 35:14-39:24"
"path: /home/sixsquare/codeQL/projects/DeepSpeed/csrc/aio/py_test/torch_io.py","call function: 25:9-25:76","call in function: read@23-27","callee=torch.load","basic block: 23:14-27:30"
