"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/torch_utils/custom_ops.py","call function: 101:24-101:36","call in function: get_plugin@61-139","callee=hashlib.md5","basic block: 101:24-101:36"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/torch_utils/custom_ops.py","call function: 195:24-195:36","call in function: get_plugin_v3@142-238","callee=hashlib.md5","basic block: 195:24-195:36"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/torch_utils/custom_ops.py","call function: 206:52-206:63","call in function: get_plugin_v3@142-238","callee=uuid.uuid4","basic block: 206:52-206:63"
"path: /home/sixsquare/codeQL/projects/DragGAN/torch_utils/custom_ops.py","call function: 112:24-112:36","call in function: get_plugin@59-155","callee=hashlib.md5","basic block: 112:24-112:36"
"path: /home/sixsquare/codeQL/projects/DragGAN/torch_utils/custom_ops.py","call function: 123:52-123:63","call in function: get_plugin@59-155","callee=uuid.uuid4","basic block: 123:52-123:63"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/dnnlib/tflib/custom_ops.py","call function: 102:15-102:27","call in function: get_plugin@89-169","callee=hashlib.md5","basic block: 102:15-102:27"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/dnnlib/tflib/custom_ops.py","call function: 151:90-151:101","call in function: get_plugin@89-169","callee=uuid.uuid4","basic block: 151:90-151:101"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/dnnlib/tflib/network.py","call function: 288:50-288:61","call in function: __setstate__@269-301","callee=uuid.uuid4","basic block: 280:9-296:41"
"path: /home/sixsquare/codeQL/projects/DragGAN/torch_utils/persistence.py","call function: 221:45-221:56","call in function: _src_to_module@216-227","callee=uuid.uuid4","basic block: 221:23-226:34"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/torch_utils/persistence.py","call function: 223:45-223:56","call in function: _src_to_module@218-229","callee=uuid.uuid4","basic block: 223:23-228:34"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/dnnlib/util.py","call function: 419:15-419:46","call in function: open_url@384-479","callee=hashlib.md5","basic block: 419:15-420:12"
"path: /home/sixsquare/codeQL/projects/DragGAN/stylegan_human/dnnlib/util.py","call function: 469:54-469:65","call in function: open_url@384-479","callee=uuid.uuid4","basic block: 466:8-474:26"
"path: /home/sixsquare/codeQL/projects/DragGAN/dnnlib/util.py","call function: 431:15-431:46","call in function: open_url@396-491","callee=hashlib.md5","basic block: 431:15-432:12"
"path: /home/sixsquare/codeQL/projects/DragGAN/dnnlib/util.py","call function: 481:54-481:65","call in function: open_url@396-491","callee=uuid.uuid4","basic block: 478:8-486:26"
