"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_lora.py","call function: 18:5-18:59","call in function: apply_lora@17-37","callee=print","basic block: 17:16-37:53"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_lora.py","call function: 24:5-24:55","call in function: apply_lora@17-37","callee=print","basic block: 17:16-37:53"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_lora.py","call function: 32:5-32:30","call in function: apply_lora@17-37","callee=print","basic block: 17:16-37:53"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_lora.py","call function: 35:5-35:60","call in function: apply_lora@17-37","callee=print","basic block: 17:16-37:53"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/serve/monitor/vote_time_stats/analyze_data.py","call function: 10:12-10:66","call in function: _serialize_json@8-10","callee=json.dumps","basic block: 8:21-10:82"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/serve/monitor/vote_time_stats/analyze_data.py","call function: 42:13-42:53","call in function: process_record@29-78","callee=print","basic block: 42:13-42:53"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/serve/monitor/vote_time_stats/analyze_data.py","call function: 60:13-62:13","call in function: process_record@29-78","callee=print","basic block: 60:13-63:18"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/serve/monitor/vote_time_stats/analyze_data.py","call function: 65:13-67:13","call in function: process_record@29-78","callee=print","basic block: 65:13-68:18"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/serve/monitor/vote_time_stats/analyze_data.py","call function: 101:39-101:56","call in function: process_file@81-106","callee=json.dumps","basic block: 101:50-101:56"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/serve/monitor/vote_time_stats/analyze_data.py","call function: 105:21-105:38","call in function: process_file@81-106","callee=print","basic block: 102:17-106:41"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 65:9-65:59","call in function: split_files@25-67","callee=print","basic block: 64:5-67:13"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 81:9-81:67","call in function: apply_delta_low_cpu_mem@70-122","callee=print","basic block: 76:5-96:55"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 83:9-83:71","call in function: apply_delta_low_cpu_mem@70-122","callee=print","basic block: 76:5-96:55"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 92:9-92:35","call in function: apply_delta_low_cpu_mem@70-122","callee=print","basic block: 76:5-96:55"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 120:5-120:60","call in function: apply_delta_low_cpu_mem@70-122","callee=print","basic block: 113:14-122:51"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 126:5-126:57","call in function: apply_delta@125-144","callee=print","basic block: 125:17-138:77"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 132:5-132:59","call in function: apply_delta@125-144","callee=print","basic block: 125:17-138:77"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 137:5-137:31","call in function: apply_delta@125-144","callee=print","basic block: 125:17-138:77"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/model/apply_delta.py","call function: 142:5-142:60","call in function: apply_delta@125-144","callee=print","basic block: 142:5-144:54"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/modules/awq.py","call function: 25:5-25:43","call in function: load_awq_quantized@24-72","callee=print","basic block: 24:24-28:27"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/modules/awq.py","call function: 31:9-31:55","call in function: load_awq_quantized@24-72","callee=print","basic block: 30:5-34:20"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/modules/awq.py","call function: 32:9-32:75","call in function: load_awq_quantized@24-72","callee=print","basic block: 30:5-34:20"
"path: /home/sixsquare/codeQL/projects/FastChat/fastchat/modules/awq.py","call function: 33:9-33:77","call in function: load_awq_quantized@24-72","callee=print","basic block: 30:5-34:20"
