"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/Fooocus/ldm_patched/pfn/architecture/OmniSR/OmniSR.py","call function: 44:13-46:13","call in function: __init__@24-120","callee=print","basic block: 44:13-46:13"
"path: /home/sixsquare/codeQL/projects/Fooocus/ldm_patched/pfn/architecture/RRDB.py","call function: 217:31-217:57","call in function: new_to_old_arch@196-257","callee=re.sub","basic block: 216:25-218:35"
"path: /home/sixsquare/codeQL/projects/Fooocus/ldm_patched/pfn/architecture/SRVGG.py","call function: 99:13-101:13","call in function: get_scale@92-103","callee=print","basic block: 99:13-101:13"
"path: /home/sixsquare/codeQL/projects/Fooocus/ldm_patched/pfn/architecture/DAT.py","call function: 199:13-199:36","call in function: __init__@171-226","callee=print","basic block: 199:13-200:19"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/auth.py","call function: 28:17-28:53","call in function: load_auth_data@19-29","callee=print","basic block: 27:13-28:53"
"path: /home/sixsquare/codeQL/projects/Fooocus/ldm_patched/ldm/modules/attention.py","call function: 258:21-258:81","call in function: attention_split@185-275","callee=print","basic block: 257:37-259:28"
"path: /home/sixsquare/codeQL/projects/Fooocus/ldm_patched/ldm/modules/attention.py","call function: 263:17-263:86","call in function: attention_split@185-275","callee=print","basic block: 263:17-263:86"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 205:5-205:43","call in function: worker@168-1482","callee=print","basic block: 169:5-208:45"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 212:9-212:19","call in function: worker@168-1482","callee=print","basic block: 212:9-212:19"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 214:9-214:16","call in function: worker@168-1482","callee=print","basic block: 213:5-214:16"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 217:9-217:34","call in function: worker@168-1482","callee=print","basic block: 216:21-218:67"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 217:9-217:34","call in function: progressbar@216-218","callee=print","basic block: 216:21-218:67"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 456:13-456:70","call in function: worker@168-1482","callee=print","basic block: 456:13-457:22"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 456:13-456:70","call in function: apply_vary@447-477","callee=print","basic block: 456:13-457:22"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 459:13-459:68","call in function: worker@168-1482","callee=print","basic block: 459:13-460:22"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 459:13-459:68","call in function: apply_vary@447-477","callee=print","basic block: 459:13-460:22"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 476:9-476:61","call in function: worker@168-1482","callee=print","basic block: 465:9-477:99"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 476:9-476:61","call in function: apply_vary@447-477","callee=print","basic block: 465:9-477:99"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 541:9-541:107","call in function: worker@168-1482","callee=print","basic block: 538:22-543:82"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 541:9-541:107","call in function: apply_inpaint@479-543","callee=print","basic block: 538:22-543:82"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 579:9-579:33","call in function: worker@168-1482","callee=print","basic block: 576:13-580:31"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 579:9-579:33","call in function: worker@168-1482","callee=print","basic block: 577:9-580:31"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 579:9-579:33","call in function: apply_upscale@573-627","callee=print","basic block: 576:13-580:31"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 579:9-579:33","call in function: apply_upscale@573-627","callee=print","basic block: 577:9-580:31"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 588:13-588:73","call in function: worker@168-1482","callee=print","basic block: 588:13-590:22"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 588:13-588:73","call in function: apply_upscale@573-627","callee=print","basic block: 588:13-590:22"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 597:13-599:63","call in function: worker@168-1482","callee=print","basic block: 597:13-600:25"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 597:13-599:63","call in function: apply_upscale@573-627","callee=print","basic block: 597:13-600:25"
"path: /home/sixsquare/codeQL/projects/Fooocus/modules/async_worker.py","call function: 626:9-626:61","call in function: worker@168-1482","callee=print","basic block: 610:26-627:121"
