"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/GFPGAN/cog_predict.py","call function: 79:19-79:60","call in function: predict@66-149","callee=cv2.imread","basic block: 79:19-79:60"
"path: /home/sixsquare/codeQL/projects/GFPGAN/gfpgan/data/ffhq_degradation_dataset.py","call function: 49:36-49:72","call in function: __init__@32-88","callee=torch.load","basic block: 49:36-49:32"
"path: /home/sixsquare/codeQL/projects/GFPGAN/gfpgan/archs/gfpgan_bilinear_arch.py","call function: 238:17-238:88","call in function: __init__@156-262","callee=torch.load","basic block: 237:13-238:103"
"path: /home/sixsquare/codeQL/projects/GFPGAN/gfpgan/archs/gfpganv1_clean_arch.py","call function: 253:17-253:88","call in function: __init__@174-275","callee=torch.load","basic block: 252:13-253:103"
"path: /home/sixsquare/codeQL/projects/GFPGAN/gfpgan/archs/gfpganv1_arch.py","call function: 327:17-327:88","call in function: __init__@243-351","callee=torch.load","basic block: 326:13-327:103"
"path: /home/sixsquare/codeQL/projects/GFPGAN/inference_gfpgan.py","call function: 131:21-131:58","call in function: main@12-170","callee=cv2.imread","basic block: 126:9-142:95"
"path: /home/sixsquare/codeQL/projects/GFPGAN/tests/test_gfpgan_model.py","call function: 15:15-15:50","call in function: test_gfpgan_model@13-132","callee=yaml.load","basic block: 14:10-20:52"
"path: /home/sixsquare/codeQL/projects/GFPGAN/tests/test_utils.py","call function: 33:11-33:68","call in function: test_gfpganer@9-43","callee=cv2.imread","basic block: 30:5-35:46"
"path: /home/sixsquare/codeQL/projects/GFPGAN/tests/test_ffhq_degradation_dataset.py","call function: 10:15-10:50","call in function: test_ffhq_degradation_dataset@7-96","callee=yaml.load","basic block: 9:10-13:51"
"path: /home/sixsquare/codeQL/projects/GFPGAN/gfpgan/utils.py","call function: 92:19-92:40","call in function: __init__@32-99","callee=torch.load","basic block: 92:19-93:34"
