"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/tools/audio_sr.py","call function: 25:23-25:38","call in function: __init__@17-34","callee=json.loads","basic block: 22:23-34:14"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/BigVGAN/bigvgan.py","call function: 28:21-28:36","call in function: load_hparams_from_json@25-28","callee=json.loads","basic block: 25:28-28:37"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/text/g2pw/g2pw.py","call function: 134:21-134:43","call in function: read_dict@128-144","callee=eval","basic block: 133:30-136:16"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/text/g2pw/g2pw.py","call function: 141:21-141:43","call in function: read_dict@128-144","callee=eval","basic block: 140:30-143:16"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/BigVGAN/inference.py","call function: 70:19-70:34","call in function: main@54-81","callee=json.loads","basic block: 55:5-75:32"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/BigVGAN/inference_e2e.py","call function: 85:19-85:34","call in function: main@69-96","callee=json.loads","basic block: 70:5-90:32"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/inference_webui_fast.py","call function: 294:16-294:31","call in function: change_sovits_weights@233-297","callee=json.loads","basic block: 289:47-297:33"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/inference_webui.py","call function: 364:16-364:31","call in function: change_sovits_weights@229-367","callee=json.loads","basic block: 359:43-367:33"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/inference_webui.py","call function: 394:16-394:31","call in function: change_gpt_weights@376-397","callee=json.loads","basic block: 388:17-397:33"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/tools/uvr5/lib/lib_v5/model_param_init.py","call function: 50:30-50:91","call in function: __init__@45-66","callee=json.loads","basic block: 47:20-50:26"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/tools/uvr5/lib/lib_v5/model_param_init.py","call function: 53:30-53:77","call in function: __init__@45-66","callee=json.loads","basic block: 52:18-53:26"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/tools/subfix_webui.py","call function: 242:24-242:39","call in function: b_load_json@238-243","callee=json.loads","basic block: 242:45-242:39"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/tools/subfix_webui.py","call function: 242:24-242:39","call in function: listcomp@242-242","callee=json.loads","basic block: 242:45-242:39"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/utils.py","call function: 216:14-216:29","call in function: get_hparams@189-233","callee=json.loads","basic block: 189:17-222:17"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/utils.py","call function: 267:14-267:29","call in function: get_hparams_from_dir@263-271","callee=json.loads","basic block: 263:26-271:18"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/utils.py","call function: 277:14-277:29","call in function: get_hparams_from_file@274-280","callee=json.loads","basic block: 274:27-280:18"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/GPT_SoVITS/BigVGAN/train.py","call function: 688:19-688:34","call in function: main@611-712","callee=json.loads","basic block: 612:5-694:32"
"path: /home/sixsquare/codeQL/projects/GPT-SoVITS/webui.py","call function: 515:20-515:35","call in function: open1Ba@490-572","callee=json.loads","basic block: 509:13-518:55"
