"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/components/mtl/tasks/__init__.py","call function: 166:13-167:96","call in function: compute_lens@151-173","callee=warnings.warn","basic block: 166:13-167:96"
"path: /home/sixsquare/codeQL/projects/HanLP/plugins/hanlp_restful/hanlp_restful/__init__.py","call function: 26:32-26:47","call in function: _post@25-34","callee=json.dumps","basic block: 25:15-27:35"
"path: /home/sixsquare/codeQL/projects/HanLP/plugins/hanlp_restful/hanlp_restful/__init__.py","call function: 145:32-145:47","call in function: _send_post@144-147","callee=json.dumps","basic block: 144:20-147:42"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/parsing/loaders/_ctb_utils.py","call function: 176:25-176:35","call in function: make_ctb_tasks@160-207","callee=print","basic block: 175:21-177:31"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/parsing/loaders/_ctb_utils.py","call function: 257:13-257:87","call in function: make_ctb@248-270","callee=print","basic block: 257:13-257:87"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/parsing/loaders/_ctb_utils.py","call function: 260:17-260:66","call in function: make_ctb@248-270","callee=print","basic block: 260:17-260:66"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 124:17-124:72","call in function: finalize@112-144","callee=print","basic block: 124:17-125:35"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 190:17-190:119","call in function: filter_data@147-221","callee=print","basic block: 190:17-192:24"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 206:5-207:100","call in function: filter_data@147-221","callee=print","basic block: 204:9-211:33"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 206:5-207:100","call in function: filter_data@147-221","callee=print","basic block: 204:9-218:49"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 213:29-213:82","call in function: filter_data@147-221","callee=json.dumps","basic block: 212:21-214:33"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 219:25-219:59","call in function: filter_data@147-221","callee=json.dumps","basic block: 218:17-220:29"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 257:13-257:48","call in function: handle_bit@233-266","callee=print","basic block: 255:13-258:20"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 357:31-357:70","call in function: convert_to_jsonlines@349-361","callee=json.dumps","basic block: 356:13-359:17"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 389:9-389:59","call in function: make_ontonotes_language_jsonlines@371-402","callee=print","basic block: 387:21-402:61"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 392:9-392:79","call in function: make_ontonotes_language_jsonlines@371-402","callee=print","basic block: 387:21-402:61"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 394:9-394:24","call in function: make_ontonotes_language_jsonlines@371-402","callee=print","basic block: 387:21-402:61"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 396:9-396:28","call in function: make_ontonotes_language_jsonlines@371-402","callee=print","basic block: 387:21-402:61"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 399:9-399:92","call in function: make_ontonotes_language_jsonlines@371-402","callee=print","basic block: 387:21-402:61"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 508:21-508:31","call in function: make_con_txt@499-515","callee=print","basic block: 508:21-508:31"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/datasets/srl/ontonotes5/_utils.py","call function: 546:19-546:68","call in function: make_dep_conllx_if_necessary@544-549","callee=str.replace","basic block: 544:34-547:34"
"path: /home/sixsquare/codeQL/projects/HanLP/hanlp/components/ner/biaffine_ner/biaffine_ner.py","call function: 98:13-98:70","call in function: execute_training_loop@80-113","callee=logging.Logger.info","basic block: 97:13-101:85"
"path: /home/sixsquare/codeQL/projects/HanLP/plugins/hanlp_common/hanlp_common/amr.py","call function: 64:13-64:40","call in function: find_similar_token@63-80","callee=re.sub","basic block: 63:24-65:33"
"path: /home/sixsquare/codeQL/projects/HanLP/plugins/hanlp_common/hanlp_common/amr.py","call function: 165:25-165:37","call in function: __repr__@144-167","callee=json.dumps","basic block: 165:25-165:21"
"path: /home/sixsquare/codeQL/projects/HanLP/plugins/hanlp_common/hanlp_common/amr.py","call function: 217:15-217:24","call in function: __str__@216-222","callee=repr","basic block: 216:17-218:41"
"path: /home/sixsquare/codeQL/projects/HanLP/plugins/hanlp_common/hanlp_common/amr.py","call function: 802:28-802:57","call in function: from_prediction@724-820","callee=re.sub","basic block: 802:28-802:24"
