"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 37:12-37:31","call in function: check_path@33-41","callee=os.path.exists","basic block: 33:16-37:31"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 45:10-45:30","call in function: read_file@44-46","callee=open","basic block: 44:15-46:24"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 50:10-50:31","call in function: write_file@49-51","callee=open","basic block: 49:16-51:29"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 55:21-55:75","call in function: make_content@54-68","callee=os.path.join","basic block: 54:18-58:36"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 55:34-55:59","call in function: make_content@54-68","callee=os.path.abspath","basic block: 54:18-58:36"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 56:19-56:63","call in function: make_content@54-68","callee=os.path.join","basic block: 54:18-58:36"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 56:32-56:57","call in function: make_content@54-68","callee=os.path.abspath","basic block: 54:18-58:36"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 57:20-57:65","call in function: make_content@54-68","callee=os.path.join","basic block: 54:18-58:36"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 67:16-67:79","call in function: make_content@54-68","callee=os.path.join","basic block: 58:8-68:61"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 72:16-72:53","call in function: make_all_content@71-76","callee=os.listdir","basic block: 72:16-73:26"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 72:27-72:52","call in function: make_all_content@71-76","callee=os.path.abspath","basic block: 72:16-73:26"
"path: /home/sixsquare/codeQL/projects/HelloGitHub/script/make_content/make_content.py","call function: 75:12-75:32","call in function: make_all_content@71-76","callee=os.path.isdir","basic block: 73:9-75:32"
