"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/data/belle_multiturn/belle_multiturn.py","call function: 56:14-56:45","call in function: _generate_examples@55-82","callee=open","basic block: 55:28-57:40"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/scripts/stat_utils/cal_mfu.py","call function: 148:14-148:90","call in function: calculate_mfu@101-157","callee=open","basic block: 148:14-157:45"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/api/chat.py","call function: 124:40-124:60","call in function: _process_request@73-169","callee=open","basic block: 124:40-124:36"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/scripts/stat_utils/cal_ppl.py","call function: 126:10-126:47","call in function: calculate_ppl@55-130","callee=open","basic block: 126:10-130:58"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/tests/check_license.py","call function: 28:14-28:52","call in function: main@22-34","callee=open","basic block: 27:9-30:34"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/train/callbacks.py","call function: 215:14-215:79","call in function: _write_log@214-216","callee=open","basic block: 214:20-216:44"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 77:14-77:55","call in function: load_config@74-80","callee=open","basic block: 77:48-77:55"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 99:10-99:56","call in function: save_config@83-100","callee=open","basic block: 99:10-100:33"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 99:10-99:56","call in function: save_config@83-100","callee=open","basic block: 96:8-100:33"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 147:14-147:75","call in function: load_dataset_info@140-151","callee=open","basic block: 147:68-147:75"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 157:14-157:48","call in function: load_args@154-160","callee=open","basic block: 154:15-157:48"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 165:10-165:49","call in function: save_args@163-166","callee=open","basic block: 163:15-166:33"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 206:10-206:77","call in function: save_cmd@202-209","callee=open","basic block: 202:14-209:50"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 214:10-214:37","call in function: load_eval_results@212-217","callee=open","basic block: 212:23-217:38"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 261:10-261:90","call in function: create_ds_config@228-286","callee=open","basic block: 229:5-286:41"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 265:10-265:98","call in function: create_ds_config@228-286","callee=open","basic block: 229:5-286:41"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 280:10-280:90","call in function: create_ds_config@228-286","callee=open","basic block: 229:5-286:41"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/common.py","call function: 285:10-285:98","call in function: create_ds_config@228-286","callee=open","basic block: 229:5-286:41"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/control.py","call function: 123:14-123:53","call in function: get_trainer_info@107-157","callee=open","basic block: 123:14-124:23"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/control.py","call function: 129:14-129:53","call in function: get_trainer_info@107-157","callee=open","basic block: 128:45-130:25"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/control.py","call function: 149:14-149:56","call in function: get_trainer_info@107-157","callee=open","basic block: 149:14-152:39"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/components/data.py","call function: 45:14-45:75","call in function: can_preview@42-57","callee=open","basic block: 45:68-45:75"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/components/data.py","call function: 61:10-61:42","call in function: _load_data_file@60-67","callee=open","basic block: 60:21-62:38"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/webui/components/data.py","call function: 72:10-72:71","call in function: get_preview@70-83","callee=open","basic block: 70:17-76:32"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/eval/evaluator.py","call function: 90:14-90:44","call in function: eval@79-137","callee=open","basic block: 79:14-96:27"
"path: /home/sixsquare/codeQL/projects/LLaMA-Factory/src/llamafactory/eval/evaluator.py","call function: 150:18-150:113","call in function: _save_results@139-154","callee=open","basic block: 149:13-154:35"
