"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/weibo/__init__.py","call function: 72:18-72:51","call in function: update_weibo_note@56-95","callee=re.sub","basic block: 68:19-95:88"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/weibo/__init__.py","call function: 129:18-129:51","call in function: update_weibo_note_comment@114-150","callee=re.sub","basic block: 126:18-150:88"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/xhs/__init__.py","call function: 205:21-206:84","call in function: save_creator@164-210","callee=json.dumps","basic block: 187:5-210:69"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/xhs/_store_impl.py","call function: 119:24-119:65","call in function: add_content@98-125","callee=json.dumps","basic block: 98:27-125:25"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/xhs/_store_impl.py","call function: 120:22-120:61","call in function: add_content@98-125","callee=json.dumps","basic block: 98:27-125:25"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/xhs/_store_impl.py","call function: 173:22-173:61","call in function: add_comment@158-177","callee=json.dumps","basic block: 158:27-177:28"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/xhs/_store_impl.py","call function: 220:22-220:61","call in function: add_creator@205-222","callee=json.dumps","basic block: 205:27-222:28"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/store/xhs/_store_impl.py","call function: 235:25-235:64","call in function: update_creator@224-238","callee=json.dumps","basic block: 224:30-238:35"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/tools/async_file_writer.py","call function: 50:31-50:85","call in function: write_single_item_to_json@32-50","callee=json.dumps","basic block: 47:13-50:86"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/weibo/client.py","call function: 83:20-83:78","call in function: post@82-84","callee=json.dumps","basic block: 82:20-84:111"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/kuaishou/client.py","call function: 65:20-65:78","call in function: post@64-68","callee=json.dumps","basic block: 64:20-68:9"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/douyin/client.py","call function: 168:47-168:134","call in function: search_info_by_keyword@134-174","callee=json.dumps","basic block: 168:47-170:41"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/xhs/client.py","call function: 150:20-150:78","call in function: post@139-157","callee=json.dumps","basic block: 139:20-157:9"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/client.py","call function: 119:20-119:78","call in function: post@109-120","callee=json.dumps","basic block: 109:20-120:99"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/bilibili/client.py","call function: 110:20-110:78","call in function: post@108-111","callee=json.dumps","basic block: 108:20-111:111"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/tools/crawler_util.py","call function: 52:9-52:16","call in function: find_login_qrcode@33-53","callee=print","basic block: 51:5-53:17"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/tools/crawler_util.py","call function: 200:18-200:84","call in function: extract_text_from_html@194-203","callee=re.sub","basic block: 200:18-203:21"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/tools/crawler_util.py","call function: 202:18-202:51","call in function: extract_text_from_html@194-203","callee=re.sub","basic block: 200:18-203:21"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/xhs/help.py","call function: 41:29-41:69","call in function: sign@22-49","callee=json.dumps","basic block: 22:10-49:5"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/cache/local_cache.py","call function: 85:23-85:46","call in function: keys@74-87","callee=str.replace","basic block: 85:23-85:19"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 72:24-72:55","call in function: extract_tieba_note_list@63-96","callee=str.replace","basic block: 63:33-77:38"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 354:13-354:68","call in function: extract_data_field_value@337-356","callee=print","basic block: 353:9-355:33"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 364:9-364:21","call in function: test_extract_search_note_list@359-364","callee=print","basic block: 360:10-364:21"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 372:9-372:34","call in function: test_extract_note_detail@367-372","callee=print","basic block: 368:10-372:34"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 380:9-380:21","call in function: test_extract_tieba_note_parment_comments@375-380","callee=print","basic block: 376:10-380:21"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 393:9-393:21","call in function: test_extract_tieba_note_sub_comments@383-393","callee=print","basic block: 384:10-393:21"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 401:9-401:21","call in function: test_extract_tieba_note_list@396-402","callee=print","basic block: 397:10-402:8"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/media_platform/tieba/help.py","call function: 410:9-410:39","call in function: test_extract_creator_info@405-410","callee=print","basic block: 406:10-410:39"
"path: /home/sixsquare/codeQL/projects/MediaCrawler/main.py","call function: 67:9-67:67","call in function: main@57-73","callee=print","basic block: 66:15-68:14"
