"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/MetaGPT/examples/di/InfiAgent-DABench/DABench.py","call function: 146:10-146:47","call in function: load_jsonl@131-149","callee=open","basic block: 145:12-147:24"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/spo/app.py","call function: 16:14-16:55","call in function: load_yaml_template@14-18","callee=open","basic block: 16:14-17:36"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/spo/app.py","call function: 34:10-34:51","call in function: save_yaml_template@21-35","callee=open","basic block: 21:24-35:110"
"path: /home/sixsquare/codeQL/projects/MetaGPT/tests/conftest.py","call function: 41:14-41:61","call in function: rsp_cache@37-49","callee=open","basic block: 41:14-42:26"
"path: /home/sixsquare/codeQL/projects/MetaGPT/tests/conftest.py","call function: 46:10-46:57","call in function: rsp_cache@37-49","callee=open","basic block: 45:11-49:66"
"path: /home/sixsquare/codeQL/projects/MetaGPT/tests/conftest.py","call function: 48:10-48:61","call in function: rsp_cache@37-49","callee=open","basic block: 45:11-49:66"
"path: /home/sixsquare/codeQL/projects/MetaGPT/tests/conftest.py","call function: 179:14-179:43","call in function: _rsp_cache@176-185","callee=open","basic block: 179:14-180:26"
"path: /home/sixsquare/codeQL/projects/MetaGPT/tests/conftest.py","call function: 184:10-184:39","call in function: _rsp_cache@176-185","callee=open","basic block: 183:11-185:67"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/aflow/scripts/optimizer_utils/convergence_utils.py","call function: 33:18-33:39","call in function: load_data@21-38","callee=open","basic block: 33:18-34:35"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/aflow/scripts/optimizer_utils/convergence_utils.py","call function: 37:14-37:35","call in function: load_data@21-38","callee=open","basic block: 37:14-38:34"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/sela/data/custom_task.py","call function: 64:10-64:69","call in function: get_mle_bench_requirements@47-74","callee=open","basic block: 64:10-74:26"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/aflow/scripts/optimizer_utils/data_utils.py","call function: 21:18-21:39","call in function: load_results@18-26","callee=open","basic block: 21:18-23:31"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 576:10-576:48","call in function: read_json_file@572-581","callee=open","basic block: 576:10-578:23"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 608:10-608:48","call in function: write_json_file@601-609","callee=open","basic block: 606:59-609:88"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 616:10-616:49","call in function: read_jsonl_file@612-623","callee=open","basic block: 615:13-618:27"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 631:10-631:49","call in function: add_jsonl_file@626-633","callee=open","basic block: 631:10-632:29"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 647:10-647:24","call in function: read_csv_to_list@636-656","callee=open","basic block: 636:22-649:48"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 854:14-854:47","call in function: encode_image@843-856","callee=open","basic block: 854:14-855:22"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 964:14-964:40","call in function: get_project_srcs_path@961-968","callee=open","basic block: 964:14-965:20"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/utils/common.py","call function: 1237:18-1237:38","call in function: download_model@1228-1243","callee=open","basic block: 1237:18-1237:38"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/spo/utils/data_utils.py","call function: 43:9-43:69","call in function: save_results@41-43","callee=pathlib.Path.write_text","basic block: 41:22-43:69"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/sela/data/dataset.py","call function: 147:10-147:24","call in function: save_datasets_dict_to_yaml@146-148","callee=open","basic block: 146:32-148:38"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/sela/data/dataset.py","call function: 301:14-301:96","call in function: save_datasetinfo@300-303","callee=open","basic block: 300:26-303:71"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/ext/aflow/data/download_data.py","call function: 23:10-23:29","call in function: download_file@16-27","callee=open","basic block: 16:19-24:53"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 128:14-128:46","call in function: write@116-131","callee=open","basic block: 128:14-131:163"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 219:14-219:29","call in function: _print_window@217-261","callee=pathlib.Path.open","basic block: 217:23-223:41"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 300:14-300:24","call in function: open_file@279-314","callee=pathlib.Path.open","basic block: 299:29-303:43"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 557:28-557:72","call in function: _edit_file_impl@509-701","callee=tempfile.NamedTemporaryFile","basic block: 552:19-562:36"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 566:18-566:63","call in function: _edit_file_impl@509-701","callee=tempfile.NamedTemporaryFile","basic block: 566:46-566:63"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 570:22-570:37","call in function: _edit_file_impl@509-701","callee=pathlib.Path.open","basic block: 570:22-570:37"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 686:14-686:50","call in function: _edit_file_impl@509-701","callee=pathlib.Path.open","basic block: 686:14-688:39"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 782:14-782:29","call in function: edit_file_by_replace@703-822","callee=pathlib.Path.open","basic block: 704:9-785:41"
"path: /home/sixsquare/codeQL/projects/MetaGPT/metagpt/tools/libs/editor.py","call function: 882:14-882:32","call in function: _edit_file_by_replace@824-926","callee=pathlib.Path.open","basic block: 881:21-885:35"
