"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/ocr/paddleocr2pytorch/pytorchocr/base_ocr_v20.py","call function: 18:19-18:42","call in function: read_pytorch_weights@15-19","callee=torch.load","basic block: 18:19-19:22"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/ocr/paddleocr2pytorch/pytorchocr/base_ocr_v20.py","call function: 33:34-33:76","call in function: load_pytorch_weights@32-33","callee=torch.load","basic block: 32:30-33:77"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/utils/config_reader.py","call function: 29:22-29:33","call in function: read_config@17-30","callee=json.load","basic block: 28:14-30:21"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/cli/models_download.py","call function: 22:16-22:46","call in function: download_and_modify_json@19-41","callee=json.load","basic block: 22:16-24:35"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/mfr/unimernet/unimernet_hf/modeling_unimernet.py","call function: 434:22-434:87","call in function: from_checkpoint@422-448","callee=torch.load","basic block: 422:25-435:65"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/utils/pdf_image_tools.py","call function: 118:13-118:44","call in function: images_bytes_to_pdf_bytes@113-126","callee=PIL.Image.open","basic block: 113:31-126:20"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/utils/pdf_reader.py","call function: 58:16-58:39","call in function: base64_to_pil_image@52-58","callee=PIL.Image.open","basic block: 53:5-58:54"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/ocr/paddleocr2pytorch/pytorch_paddle.py","call function: 81:22-81:41","call in function: __init__@54-100","callee=yaml.safe_load","basic block: 79:30-100:30"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/ocr/paddleocr2pytorch/tools/infer/pytorchocr_utility.py","call function: 155:15-155:31","call in function: read_network_config_from_yaml@150-164","callee=yaml.safe_load","basic block: 153:12-156:38"
"path: /home/sixsquare/codeQL/projects/MinerU/projects/mcp/src/mineru/server.py","call function: 208:31-208:45","call in function: convert_file_url@181-253","callee=json.loads","basic block: 208:42-208:45"
"path: /home/sixsquare/codeQL/projects/MinerU/projects/mcp/src/mineru/server.py","call function: 288:32-288:52","call in function: convert_file_path@256-344","callee=json.loads","basic block: 288:43-288:52"
"path: /home/sixsquare/codeQL/projects/MinerU/tests/unittest/test_e2e.py","call function: 244:24-244:38","call in function: assert_content@241-308","callee=json.load","basic block: 241:20-246:36"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/table/rec/unet_table/utils.py","call function: 107:32-107:46","call in function: load_img@103-119","callee=PIL.Image.open","basic block: 107:43-107:46"
"path: /home/sixsquare/codeQL/projects/MinerU/mineru/model/table/rec/unet_table/utils.py","call function: 113:28-113:51","call in function: load_img@103-119","callee=PIL.Image.open","basic block: 113:19-114:22"
